RecordType.Name,Name,DEC__c,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,Phone,Fax,Description
DEC,KIRO WELLNESS CENTRE,IH013,4 – 1500 Columbia Avenue,Trail,BC,V1R 1J9,(250) 364-6292,(250) 364-6290,
DEC,KOOTENAY LAKE DISTRICT HOSPITAL,IH014,3 View Street,Nelson,BC,V1L 2V1,(250) 352-3111 (Local 7431),(250) 352-6273,
DEC,LOGAN LAKE HEALTH CENTRE,IH015,5 Beryl Avenue,Logan Lake,BC,V0L 1W0,(250) 523-9414,(250) 523-6869,
DEC,NICOLA VALLEY HEALTH CENTRE,IH016,c/o Nicola Valley Health Care Society,Merritt,BC,V1K 1C6,(250) 378-3236,(250) 378-3287,
DEC,ONE HUNDRED (100) MILE DISTRICT GENERAL HOSPITAL,IH017,PO Box 1600 555D Cedar Avenue,100 Mile House,BC,V0K 2E0,(250) 395-7676,(250) 395-7675,
DEC,PENTICTON HEALTH CENTRE,IH018,740 Carmi Avenue,Penticton,BC,V2A 8P9,(250) 770-3495,(250) 770-3470,(250) 770-3495 or 1-800-707-8550 (booking)
DEC,PRINCETON HEALTH UNIT,IH019,98 Ridgewood Dr,Princeton,BC,V0X 1W0,1-800-707-8550 (booking),(250) 295-4443,
DEC,QUEEN VICTORIA HOSPITAL,IH020,Mail Bag 5000 1200 Newland Road ,Revelstoke,BC,V0E 2S0,(250) 837-2131 (Loc. 276),(250) 814-2285,(250) 837-2131 (Loc. 276) & (250) 814-2276
DEC,ROYAL INLAND HOSPITAL,IH021,311 Columbia Street,Kamloops,BC,V2C 2T1,(250) 314-2457,(250) 314-2198,
DEC,SHUSWAP LAKE GENERAL HOSPITAL,IH022,PO Box 520 601 10th Street NE,Salmon Arm,BC,V1E 4N6,(250) 833-3636 (Ext. 2359),(250) 833-4111,
DEC,SOUTH OKANAGAN GENERAL HOSPITAL,IH023,911 McKinney Road,Oliver,BC,V0H 1T3,1-800-707-8550 (booking) or (250) 498-5000,(250) 498-5004,"1-800-707-8550 (booking) or (250) 498-5000

Fax:
(250) 498-5004, and for Osoyoos outreach site: (250) 495-5142"
DEC,SOUTH SIMILKAMEEN HEALTH CENTRE,IH024,700 3rd Street,Keremeos,BC,V0X 1N0,1-800-707-8550 (booking),(250) 499-3027,
DEC,SUMMERLAND HEALTH CENTRE,IH025,Box 869 12815 Atkinson Road,Summerland,BC,V0H 1Z0,1-800-707-8550 (booking) or (250) 770-3495,(250) 404-8057,1-800-707-8550 (booking) or (250) 770-3495
DEC,VERNON JUBILEE HOSPITAL,IH026,2101 32nd Street,Vernon,BC,V1T 5L2,(250) 558-1210,(250) 503-3722,
DEC,CLEARWATER DIABETES EDUCATION CENTRE,IH027,"c/o Dr. Helmcken Memorial Hospital 
640 Park Drive 
",Clearwater,BC,V0E 1N1,(250) 674-2244,(250) 674-2477,
DEC,ASHCROFT DIABETES CLINIC,IH028,"Ashcroft Hospital and Community Health Care Centre PO Box 488
700 Ash-Cache Creek Hwy
Ashcroft BC  V0K 1A0
","Ashcroft
",BC,V0K 1A0,(250) 453-2211,(250) 453-1926,
DEC,LILLOOET DIABETES CLINIC,IH029,"Lilloooet Hospital and Health Centre
PO Box 249
951 Murray Street","
Lillooet",BC,V0K 1V0,(250) 256-4233,(250) 256-1336,
DEC,DAWSON CREEK HEALTH UNIT COMMUNITY HEALTH (Diabetes Education Centre),NH001,Dawson Creek Health Unit 1001 110 Avenue,Dawson Creek,BC,V1G 4X3,(250) 719-6500,(250) 719-6513,"Fax
(250) 622-6521
(250) 622-6391

"
DEC,FORT NELSON GENERAL HOSPITAL,NH002,Bag 1000- 5315 Liard Street,Fort Nelson,BC,V0C 1R0,(250) 774-7092,(250) 774-7096,
DEC,Fort St. John Hospital & Peace Villa Diabetes Education Centre,NH003,8407-112th Ave,Fort St. John,BC,V1J 0J5,(250) 261-7439,(250) 261-7651,"(250) 261-7651, and (250) 261-7666, and (250) 263-6086, and (250) 787-1227"
DEC,FRASER LAKE COMMUNITY HEALTH CENTRE,NH004,"Box 1000, 130 Chowsunket St",Fraser Lake,BC,V0J 1S0,(250) 699-7233,(250) 699-6987,
DEC,G.R. BAKER MEMORIAL HOSPITAL,NH005,543 Front Street,Quesnel,BC,V2J 2K7,(250) 985-5657,(250) 983-6843,
DEC,HEALTHY TERRACE PROGRAM,NH006,"Suite 200, 4634 Park Avenue Medical Centre",Terrace,BC,V8G 1V7,(250) 631-4670,(250) 615-5538,
DEC,SMITHERS COMMUNITY HEALTH CENTRE,NH007,3793 Alfred Ave,Smithers,BC,V0J  2N0,(250) 631-6014,(250) 847-5908,"(250) 847-5908, and
(250) 845-7884 (Houston Health Centre outreach site)"
DEC,LIVING WELL PROGRAM - KITIMAT GENERAL HOSPITAL & HEALTH CENTRE,NH008,920 Lahakas Blvd. South,Kitimat,BC,V8C 2S3,(250) 632-8315,(250) 632-7081,
DEC,LAKES DISTRICT HOSPITAL & HEALTH CENTRE,NH009,PO Box 7500 741 Centre Street,Burns Lake,BC,V0J 1E0,(250) 692-2440,(250) 692-2469,
DEC,MACKENZIE AND DISTRICT HOSPITAL AND HEALTH CENTER,NH010,PO Box 249,Mackenzie,BC,V0J 2C0,250-997-8505,(250) 997-6068,
DEC,MILLS MEMORIAL HOSPITAL,NH011,4720 Haughland Ave,Terrace,BC,V8G 2W7,(250) 631-4251,(250) 638-4618,"(250) 638-4618, and
(250) 631-4618, and
(250) 638-4055, and
(250) 6-638-4090
"
DEC,NORTHERN INTERIOR HEALTH UNIT,NH012,3299 Hospital Road,Vanderhoof,BC,V0J 3A2,(250) 567-6900,(250) 567-6170,(250) 567-6900 or (250) 567-6165
DEC,PRINCE RUPERT HEALTH  PROMOTION PROGRAM (PRINCE RUPERT REGIONAL HOSPITAL),NH013,1305 Summit Avenue (4th floor),Prince Rupert,BC,V8J 2A6,(250) 622-6294,(250) 622-6521,"Fax
(250) 622-6521
(250) 622-6391

"
DEC,NORTHERN HAIDA GWAII HOSPITAL AND HEALTH CENTRE,NH014,2520 Harrison Avenue,Masset Haida Gwaii,BC,V0T 1M0,(250) 626-4700,(250) 626-4708,"(250) 626-4700, or (250) 626-4733 (Theresa Harris)"
DEC,HAIDA GWAII HOSPITAL AND HEALTH CENTRE,NH015,"PO Box 9, 3209 Oceanview Drive",Queen Charlotte,BC,V0T 1S0,(250) 559-4951,(250) 559-8037,
DEC,STUART LAKE HOSPITAL,NH016,"PO Box 1060, 600 Stuart Drive East",Fort St. James,BC,V0J 1P0,(250) 996-8201 Ext. 5,(250) 996-8777,
DEC,PRINCE GEORGE DIABETES EDUCATION CENTRE,NH017,Parkwood Place 175-1600 15th Ave,Prince George,BC,V2L 3X3,(250) 565-2464,(250) 565-2792,
DEC,WRINCH MEMORIAL HOSPITAL,NH018,Bag 999,Hazelton,BC,V0J 1Y0,(250) 842-5211,(250) 842-5865,
DEC,BRITISH COLUMBIA’S CHILDREN'S HOSPITAL,PH001,Room K2-125  4480 Oak Street,Vancouver ,BC,V6H 3V4,(604) 875-2868,(604) 875-3231,"Fax
(604) 875-3231
(604) 875-2098

"
DEC,BRITISH COLUMBIA'S WOMEN'S HOSPITAL AND HEALTH CENTRE,PH002,4500 Oak Street,Vancouver,BC,V6H 3N1,(604) 875-3135,(604) 875-2871,
DEC,BELLA COOLA DIABETIC EDUCATION CENTRE,VC001,PO Box 220 1025 Elcho Street,Bella Coola,BC,V0T 1C0,(250) 799-5339,(250) 799-5635,"(250) 799-5339, or (250) 799-5311 ext 204 - Gwen Schmidt"
DEC,CHINESE COMMUNITY HEALTH SOCIETY DIABETES EDUCATION CENTRE,VC002,Chinese Cultural Center 50 E Pender Street,Vancouver,BC,V6A 3V6,(604) 688-0351,(604) 687-6260,"DEC Representative: Michael Tang

(604) 688-0351, or 778-893-9306"
DEC,DOWNTOWN COMMUNITY HEALTH CENTRE,VC003,569 Powell Street,Vancouver,BC,V6A 1G8,(604) 255-3151,(604) 255-0314,"Fax
(604) 255-0314
(604) 216-4270

"
DEC,GARRATT WELLNESS CENTRE,VC004,7504 Chelsea Place,Richmond,BC,V7C 3S9,(604) 244-5163,(604) 204-2017,
DEC,G.F. STRONG CENTRE,VC005,4255 Laurel Street,Vancouver,BC,V5Z 2G9,(604) 734-1313 (Local 2319),(604) 714-4122,
DEC,MOUNT ST. JOSEPH HOSPITAL,VC006,3080 Prince Edward,Vancouver,BC,V5T 3N4,,(604) 877-8118,Registration:  (604) 321-6151 (Punjabi program) Information:  (604) 877-8529 Registration:  (604) 684-1628 (SUCCESS) Information:  (604) 877-8529 (Chinese program)
DEC,POWELL RIVER COMMUNITY HEALTH COUNCIL (Powell River General Hospital),VC007,5000 Joyce Avenue,Powell River,BC,V8A 5R3,(604) 485-3216,(604) 485-3208,
DEC,RICHMOND HOSPITAL,VC008,7000 Westminster Highway,Richmond,BC,V6X 1A2,(604) 244-5163,(604) 244-5571,
DEC,SQUAMISH COMMUNITY HEALTH,VC009,Box 220 1140 Hunter Place,Squamish,BC,V8B 0A2,(604) 892-2293 ext 279,(604) 892-2327,"Fax:
(604) 892-2327	
(604) 892-9417"
DEC,ST. MARY'S HOSPITAL,VC010,PO Box 7777,Sechelt,BC,V0N 3A0,,(604) 885-8629,"(604) 885-2224, or 
(604) 885-8696 for the Registered Dietian.

Fax
(604) 885-8629	
(604) 885-8655"
DEC,ST. PAUL'S HOSPITAL,VC011,1081 Burrard Street,Vancouver,BC,V6Z 1Y6,(604) 806-8357,(604) 806-8572,
DEC,VANCOUVER COMMUNITY DIABETES EDUCATION CENTRE,VC012,5913 West Boulevard,Vancouver,BC,V6M 3X1,,(604) 267-3993,"(604) 267-4430, or (604) 267-4438 for Laura Ng (Chronic Disease Prevention and Management Nurse)
Fax: (604) 267-3993 or (604) 872-2368 (Training provided at two different locations  and certificates may be faxed from these two numbers)"
DEC,VANCOUVER GENERAL HOSPITAL DIABETES EDUCATION CENTRE,VC013,"4th Floor, Station No 2 2775 Laurel Street",Vancouver,BC,V5Z 1M9,(604) 875-5910,(604) 875-8276,
DEC,WEST VANCOUVER COMMUNITY HEALTH CENTRE,VC014,#241 - 2121 Marine Drive,West Vancouver,BC,V7V 4Y2,(604) 904-6200 ext 4150,(604) 904-6172,"(604) 904-6200 ext 4150, (604) 984-5752 (Lions Gate Hospital outreach site)"
DEC,DUNCAN DIABETES EDUCATION CENTRE (Salt Spring Island and Ladysmith),VI001,121 Ingram Street,Duncan,BC,V9L 2B7,(250) 737-2004,(250) 737-2033,
DEC,LADYSMITH COMMUNITY HEALTH CENTRE,VI002,"1111-4th Ave, PO Box 10",Ladysmith,BC,V9G 1A1,(250) 739-5777,(250) 740-2689,
DEC,NANAIMO REGIONAL GENERAL HOSPITAL,VI003,Room B235 Ambulatory Care Centre 1200 Dufferin Crescent,Nanaimo,BC,V9S 2B7,(250) 755-7691,(250) 716-7711,"Fax
(250) 716-7711
(250) 739-5974
(250) 739-5855
"
DEC,OCEANSIDE HEALTH CENTRE (Parksville Diabetes Education Centre),VI004,489 Alberni Highway,Parksville,BC, BC  V9P 1J9,(250) 951-9550,(250) 951-9516,
DEC,PORT MCNEILL DIABETES EDUCATION CENTRE - PORT MCNEILL HOSPITAL,VI005,Box 548 2750 Kingcome Place,Port McNeill,BC,V0N 2R0,(250) 956-4461 Ext 66262,(250) 956-6813,(250) 956-4461 Ext 66262 (new number) (250) 956-4461 Ext 66252 (to book appointments)
DEC,ROYAL JUBILEE HOSPITAL,VI006,"2nd Floor, Clinic 7 1952 Bay Street",Victoria,BC,V8R 1J8,(250) 370-8322,(250) 370-8357,"(250)370-8633 (Re-certification booking)

Fax:
(250) 370-8357	(250) 727-4168"
DEC,NORTH ISLAND HOSPITAL - COMOX VALLEY CAMPUS WELLNESS CENTRE DIABETES EDUCATION,VI007,North Island Hospital - Comox Valley Campus 101 Lerwick Road,Courtenay,BC,V9N 0B9,(250) 331-5964,(250) 331-5903,
DEC,NORTH ISLAND HOSPITAL - CR CAMPUS,VI008,375 Second Avenue,Campbell River,BC,V9W 3V1,(250) 286-7150,(250) 286-7103,
DEC,VICTORIA GENERAL HOSPITAL – Victoria Gestational Diabetes Clinic,VI009,N700 CFAU I Hospital Way,Victoria,BC,V8Z 6R5,(250) 727-4361,(250) 727-4168,
DEC,VICTORIA GENERAL HOSPITAL - Pediatric Diabetes Program,VI010,3CDC Pediatrics 1 Hospital Way,Victoria,BC,V8Z 6R6,(250) 727-4247,(250) 727-4211,"(250) 727-4247, or (250) 727-4451
Fax: 
(250) 727-4211	
(250) 727-4371"
DEC,WEST COAST GENERAL HOSPITAL,VI011,3949 Port Alberni Highway,Port Alberni,BC,V9Y 4S1,(250) 724-8824,(250) 724-8848,
