Drug__r.Drug_Code__c,Diagnosis__c,Hierarchy__c
2PPIpant,Zollinger-Ellison syndrome,Primary
2PPIpant,Barrett's esophagus,Primary
2PPIpant,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
2PPIpant,Other,
2PPIpant,Previously tried Proton Pump Inhibitors - rabeprazole AND pantoprazole magnesium,Primary
2PPIpant,Gastroesophageal reflux disease (GERD),Primary
2PPIpant,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
abatacept,Rheumatoid Arthritis,Primary
abatacept,Polyarticular Juvenile Idiopathic Arthritis (pJIA),Primary
abatacept,Other,
abobotulinum,cervical dystonia (spasmodic torticollis) in adults.,Primary
abobotulinum,focal spasticity,Primary
abobotulinum,Other,
ACEIcapt,Other,
ACEIcapt,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIcapt,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIcila,Other,
ACEIcila,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIcila,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIdena,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIdena,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIdena,Other,
ACEIenap,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIenap,other,
ACEIenap,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIfosi,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIfosi,Other,
ACEIfosi,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIliso,Other,
ACEIliso,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIliso,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIperi,Other,
ACEIperi,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIperi,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEIquin,Complex patient requiring medication(s) for co-existing chronic condition(s),Primary
ACEIquin,Other,
ACEIquin,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
ACEItran,Requiring medication(s) for co-existing chronic condition(s),Primary
ACEItran,Other,
ACEItran,"Treatment failure on optimal doses of, or intolerance to, ramipril",Primary
acetaminophen,Treatment of osteoarthritis only as monotherapy.,Primary
acetaminophen,Treatment osteoarthritis as an adjunct to NSAID therapy when additional pain relief is required.,Primary
acetaminophen,Other,
adalimumab,Plaque Psoriasis,Primary
adalimumab,Hidradentis Suppurativa,Primary
adalimumab,Rheumatoid Arthritis,Primary
adalimumab,Moderate to Severe Active Crohn's,Primary
adalimumab,Other,
adalimumab,Psoriatic Arthritis,Primary
adalimumab,Ulcerative Colitis,Primary
adalimumab,Ankylosing Spondylitis,Primary
adalimumab,Polyarticular Juvenile Idiopathic Arthritis,Primary
adalimumab,Fistulizing Crohn's,Primary
ADHDamph,Other,
ADHDamph,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning.",Primary
ADHDatom,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning.",Primary
ADHDatom,Other,
ADHDlisd,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - dextroamphetamine IR/SR",Primary
ADHDlisd,Other,
ADHDlisd,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - methylphenidate IR/SR",Primary
ADHDlisd,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - other",Primary
ADHDmeth,Other,
ADHDmeth,"Diagnosis of Attention Deficit Hyperactivity Disorder (ADHD) with hyperactivity, impulsivity, or inattention that interferes with functioning and - other",Primary
ADHDmeth,"Diagnosis of Attention Deficit Hyperactivity Disorder (ADHD) with hyperactivity, impulsivity, or inattention that interferes with functioning and - dextroamphetamine IR/SR",Primary
ADHDmeth,"ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - methylphenidate IR/SR",Primary
ADTIdone,"Renewal -  mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
ADTIdone,"Initial - mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
ADTIdone,Other,
ADTIgala,"Initial - mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
ADTIgala,"Renewal -  mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
ADTIgala,Other,
ADTIriva,"Initial - mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
ADTIriva,Other,
ADTIriva,"Renewal -  mild to moderate Alzheimer’s disease, Alzheimer’s disease with a vascular component, Alzheimer’s disease with Parkinsonian features (Lewy bodies), or mixed dementia with Alzheimer’s disease",Primary
afibdaba,Patient has a diagnosis of non-valvular atrial fibrillation,Primary
afibdaba,Other,
aggrenox,Other,
aggrenox,For secondary prevention of cerebrovascular occlusion and embolization in patients who have experienced recurrent TIA OR stroke while receiving ASA alone,Primary
alemtuzumab,As monotherapy for the treatment of relapsing-remitting multiple sclerosis,Primary
alenalen,clinical or radiographically documented fracture due to osteoporosis,Primary
alenalen,Other,
alenalen,Glucocorticoid-induced osteoporosis in patients who are receiving or expected to receive the equivalent dose of 7.5 mg of prednisone per day or greater AND for 90 consecutive days or longer.,Primary
alenrise,Clinical or radiographically documented fracture due to osteoporosis,Primary
alenrise,Glucocorticoid-induced osteoporosis,Primary
alenrise,Other,
alitretinoin,Other,
alitretinoin,For the treatment of severe chronic hand eczema ,Primary
antiemeticgran,Prescribed for the prevention and treatment of nausea and vomiting associated with chemotherapy,Primary
antiemeticgran,Other,
antiemeticonda,Other,
antiemeticonda,Prevention and treatment of nausea and vomiting associated with chemotherapy,Primary
antifungalciclo,Other,
antifungalciclo,Diagnosis of a fungal infection of the lower extremities - diabetes,Primary
antifungalciclo,Diagnosis of a fungal infection of the lower extremities - circulatory condition,Primary
antifungalciclo,Diagnosis of a fungal infection of the lower extremities - other,Primary
antifungalclio,Diagnosis of a fungal infection of the lower extremities - diabetes,Primary
antifungalclio,Other,
antifungalclio,Diagnosis of a fungal infection of the lower extremities - other,Primary
antifungalclio,Diagnosis of a fungal infection of the lower extremities - circulatory condition,Primary
antifungalclot,Diagnosis of a fungal infection of the lower extremities - other,Primary
antifungalclot,Diagnosis of a fungal infection of the lower extremities - circulatory condition,Primary
antifungalclot,Diagnosis of a fungal infection of the lower extremities - diabetes,Primary
antifungalclot,Other,
antifungalketo,Other,
antifungalketo,Diagnosis of a fungal infection of the lower extremities - circulatory condition,Primary
antifungalketo,Diagnosis of a fungal infection of the lower extremities - diabetes,Primary
antifungalketo,Diagnosis of a fungal infection of the lower extremities - other,Primary
antifungalmico,Other,
antifungalmico,Diagnosis of a fungal infection of the lower extremities - diabetes,Primary
antifungalmico,Diagnosis of a fungal infection of the lower extremities - circulatory condition,Primary
antifungalmico,Diagnosis of a fungal infection of the lower extremities - other,Primary
apomorphine,"For the acute, intermittent treatment of patients with advanced Parkinson's disease",Primary
apomorphine,Other,
aprepitant,For the prevention of acute and delayed nausea and vomiting due to highly-emetogenic cancer chemotherapy (HEC).,Primary
aprepitant,Other,
ARBcand,Patient has experienced intractable cough,Primary
ARBcand,Patient has experienced angioedema,Primary
ARBcand,Other,
ARBepro,Patient has experienced angioedema on an Angiotensin Converting Enzyme Inhibitor (ACE-I): ALL reference ARBs must have been unsucessfully tried,Primary
ARBepro,Patient has experienced intractable cough on an Angiotensin Converting Enzyme Inhibitor (ACE-I): ALL reference ARBs must have been unsucessfully tried,Primary
ARBepro,Other,
ARBirbe,Patient has experienced intractable cough,Primary
ARBirbe,Other,
ARBirbe,Patient has experienced angioedema,Primary
ARBlosa,Patient has experienced angioedema,Primary
ARBlosa,Patient has experienced intractable cough,Primary
ARBlosa,Other,
ARBolme,Other,
ARBolme,Patient has experienced intractable cough,Primary
ARBolme,Patient has experienced angioedema,Primary
ARBtelm,Patient has experienced angioedema,Primary
ARBtelm,Patient has experienced intractable cough,Primary
ARBtelm,Other,
ARBvals,Other,
ARBvals,Patient has experienced angioedema,Primary
ARBvals,Patient has experienced intractable cough,Primary
aripip,Schizophrenia,Primary
aripip,Other,
aripip,Other psychosis (not dementia related),Primary
asenapine,Diagnosis of Bipolar I Disorder,Primary
asenapine,Other,
Avonex,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial,Primary
Avonex,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch,Primary
Avonex,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal,Primary
azet,Other,
azet,A deteriorating clinical condition despite treatment with inhaled tobramycin,Primary
azet,For the cyclic treatment of chronic Pseudomonas aeruginosa infections in patients with moderate to severe cystic fibrosis,Primary
baclofen,Severe spasticity due to multiple sclerosis,Primary
baclofen,Severe spasticity due to spinal cord injury,Primary
baclofen,Other,
benralizumab,severe eosinophilic asthma,Primary
benralizumab,other,
benzydamine,"For the treatment of mucositis, ulcerative complications of chemotherapy",Primary
benzydamine,Immunocompromised patients at risk of mucosal breakdown.,Primary
BPHDUTA,other,
BPHDUTA,Diagnosis of benign prostatic hyperplasia (BPH),Primary
BPHFINA,Diagnosis of benign prostatic hyperplasia (BPH),Primary
BPHFINA,other,
brex,Other psychosis (not dementia related),Primary
brex,Schizophrenia,Primary
brex,Other,
budcaps,Crohn's disease,Primary
budcaps,Other,
budenema,Ulcerative Colitis,Primary
budenema,Other,
bupre inj,Patient is an adult and have been induced and clinically stabilized on an equivalent of 8 mg to 24 mg of transmucosal buprenorphine-naloxone for a minimum of seven days,Primary
bupre inj,Exceptional coverage consideration,Primary
bupropiondepression,Other,
bupropiondepression,Depression,Primary
cad,diagnosis of CAD and PAD,Primary
cad,Other,
carv,For treatment of stable symptomatic congestive heart failure:,Primary
carv,Concurrent therapy with an Angiotensin Converting Enzyme inhibitor (ACE-I),Primary
carv,Unable to take ACE-I (provide details):,Primary
CCBfelo,Complex patient requiring medications for co-existing chronic condition(s),Primary
CCBfelo,"Treatment failure on optimal dose of, or intolerance to, amlodipine",Primary
CCBfelo,Other,
CCBnife,Other,
CCBnife,Complex patient requiring medications for co-existing chronic condition(s),Primary
CCBnife,"Treatment failure on optimal dose of, or intolerance to, amlodipine",Primary
celecox,Other,
celecox,Lupus,Primary
celecox,Ankylosing Spondylitis,Primary
celecox,Rheumatoid Arthritis,Primary
celecox,Psoriatic Arthritis,Primary
celecox,"Treatment failure on optimal doses of, or intolerance to, both ibuprofen and naproxen.",Primary
celecox,Gout,Primary
certo,Rheumatoid Arthritis,Primary
certo,Other,
certo,Psoriatic Arthritis,Primary
certo,Ankylosing Spondylitis,Primary
chlorambucil,Other,
chlorambucil,Lupus,Primary
chlorambucil,Vasculitis,Primary
chloroquine,Lupus,Primary
chloroquine,Rheumatoid Arthritis,Primary
chloroquine,Treatment of extraintestinal amebiasis,Primary
chloroquine,Other,
ciproophthcipr,Other,
ciproophthcipr,Failure or intolerance to first-line agents (e.g. aminoglycosides),Primary
clobazam,Treatment of anxiety,Primary
clobazam,Other,
codeine,For pain management in a specified chronic pain diagnosis,Primary
codeine,Other,
codeine,Diagnosis of cancer,Primary
COPDaclid,Diagnosis of chronic obstructive pulmonary disease (COPD),Primary
COPDaclid,Other,
COPDaclidform,Diagnosis of moderate to very severe COPD¹ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted. ,Primary
COPDaclidform,Other,
COPDflutsalm,Other,
COPDflutsalm,Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted,Primary
COPDflutumecvila,Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted,Primary
COPDflutumecvila,Other,
COPDflutvila,Other,
COPDflutvila,Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted,Primary
COPDglyc,Other,
COPDglyc,Diagnosis of chronic obstructive pulmonary disease (COPD) AND failureof both tiotropium and umeclidinium,Primary
COPDinda,Other,
COPDinda,Diagnosis of COPD with a post-bronchodilator FEV1/FVC < 0.70 AND contraindication or intolerance to a long-acting muscarinic receptor antagonist (LAMAs),Primary
COPDindaglyc,Other,
COPDindaglyc,Diagnosis of moderate to very severe COPD¹ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA,Primary
COPDsalm,Diagnosis of COPD with a post-bronchodilator FEV1/FVC < 0.70 AND contraindication or intolerance to a long-acting muscarinic receptor antagonist (LAMAs),Primary
COPDsalm,Other,
COPDtiop,Other,
COPDtiop,Diagnosis of chronic obstructive pulmonary disease (COPD) AND failureof both tiotropium and umeclidinium,Primary
COPDtiopolod,Other,
COPDtiopolod,Diagnosis of moderate to very severe COPD¹ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA,Primary
COPDumecvila,Diagnosis of moderate to very severe COPD¹ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA,Primary
COPDumecvila,Other,
cyclosporin,Nephrotic syndrome,Primary
cyclosporin,Treatment failure on topical corticosteroid,Primary
cyclosporin,Psoriasis of the palms and/or soles severe enough to interfere with daily living or work,Primary
cyclosporin,Extensive psoriasis involving at least 25% of body surface or having psoriasis area and severity index of at least 12,Primary
cyclosporin,Other,
cyclosporin,UVB/UVA light therapy is not available,Primary
cyclosporin,Rheumatoid Arthritis,Primary
cyclosporin,Severe ocular inflammatory disease,Primary
cyclosporin,Ultraviolet-B light or oral or topical methoxsalen plus ultraviolet-A ligh,Primary
cyclosporin,Topical therapy with corticosteroids,Primary
cyproinj,Indication of need to reduce aggressive sexual drive,Primary
cyproinj,Other,
cyprooral,Other,
cyprooral,Indication of need to reduce aggressive sexual drive,Primary
dalteparin,Other,
dalteparin,Prophylaxis of venous thromboembolism,Primary
dalteparin,Treatment of venous thromboembolism associated with cancer,Primary
dalteparin,Treatment of venous thromboembolism,Primary
deferprox,Acquired disease,Primary
deferprox,Other,
deferprox,Congenital disease,Primary
defersirox,Congenital disease,Primary
defersirox,Acquired disease,Primary
defersirox,Other,
denosacla,Other,
denosacla,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - immune-mediated hypersensitivity reaction to oral bisphosphonates,Primary
denosacla,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia,Primary
denosacla,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - other,Primary
denosprol,Other,
denosprol,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - immune-mediated hypersensitivity reaction to oral bisphosphonates,Primary
denosprol,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia,Primary
denosprol,osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - other,Primary
desmopressin,Other,
desmopressin,Treatment of diabetes insipidus,Primary
diclo,Gout,Primary
diclo,Psoriatic Arthritis,Primary
diclo,Lupus,Primary
diclo,Ankylosing Spondylitis,Primary
diclo,Rheumatoid Arthritis,Primary
diclo,Other,
diclomiso,Rheumatoid Arthritis,Primary
diclomiso,Psoriatic Arthritis,Primary
diclomiso,Ankylosing Spondylitis,Primary
diclomiso,Lupus,Primary
diclomiso,Gout,Primary
diclomiso,Other,
dienogest,For the management of pelvic pain associated with endometriosis,Primary
dienogest,Unable to use combined hormonal contraceptives,Primary
dienogest,Other,
dienogest,Experienced treatment failure on combined hormonal contraceptives,Primary
dimethylfumarate,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch,Primary
dimethylfumarate,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial,Primary
dimethylfumarate,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal,Primary
DOACapix,Other,
DOACapix,Deep Vein Thrombosis (DVT),Primary
DOACapix,Non-valvular Atrial Fibrillation,Primary
DOACapix,Pulmonary Embolism (PE),Primary
DOACriva,Pulmonary embolism (PE),Primary
DOACriva,Deep vein thrombosis (DVT),Primary
DOACriva,Other,
DOACriva,Non-valvular atrial fibrillation,Primary
dorzolamide,Other,
dorzolamide,Diagnosis of ocular hypertension and open-angle glaucoma in patients with a demonstrated allergy to preservative,Primary
DPP4lina,Type 2 diabetes - Dual therapy of metformin and a sulfonylurea,Primary
DPP4lina,Type 2 diabetes - Dual therapy of metformin and an insulin,Primary
DPP4lina,Other,
DPP4lina,Type 2 diabetes - trial of one agent,Primary
DPP4saxa,Other,
DPP4saxa,Type 2 diabetes - Dual therapy of metformin and a sulfonylurea,Primary
DPP4saxa,Type 2 diabetes - trial of one agent,Primary
DPP4saxa,Type 2 diabetes - Dual therapy of metformin and an insulin,Primary
dronedarone,Other,
dronedarone,"For long-term rhythm control of atrial fibrillation (AF) who successfully achieved rhythm control on amiodarone, but who have developed intolerable adverse effects to amiodarone (NOT including liver adverse effects)",Primary
duloxetine,For the treatment of neuropathic pain,Primary
duloxetine,Other,
duodopa,Patient experiences severe disability despite having tried frequent dosing of levodopa,Primary
duodopa,For the management of severe cases of advanced idiopathic Parkinson's Disease,Primary
edaravone,Initial Request - Diagnosis of probable amyotrophic lateral sclerosis (ALS) or definite ALS,Primary
edaravone,Renewal Request,Primary
edaravone,Other,
enoxaparin,Prophylaxis of venous thromboembolism,Primary
enoxaparin,Other,
enoxaparin,Treatment of venous thromboembolism,Primary
entacapone,Parkinson's Disease - As adjunct therapy for patients with an inadequate response after alterations of levodopa/carbidopa doses.,Primary
entacapone,Other,
entacapone,Other,
entecavir,Other,
entecavir,Chronic Hepatitis B,Primary
Entresto,Other,
Entresto,Patient has heart failure with New York Heart Association (NYHA) Class II to III symptoms - despite at least four weeks of treatment at the optimum stable dose of a beta-blocker and other recommended therapies,Primary
epclusa,Genotype 6 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genotype 1 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Genotype 1 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genotype 2 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Genotype 2 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genptype 3 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genotype 4 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Genotype 4 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genotype 5 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Genotype 5 - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,Genotype 6 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Mixed genotype - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,Mixed genotype - Treatment-naive or treatment-experienced¹ with decompensated cirrhosis: velpatasvir plus sofosbuvir with ribavirin for 12 weeks.,Primary
epclusa,liver transplant recipient,Primary
epclusa,Genotype 3 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: velpatasvir plus sofosbuvir for 12 weeks.,Primary
epclusa,lung transplant recipient,Primary
epoprostenol,"As monotherapy, for the treatment of WHO/NYHA functional class IV PAH and inadequate response to non-prostanoid therapies",Primary
epoprostenol,"As monotherapy, for the treatment of WHO/NYHA functional class IV PAH and contraindication to the non-prostanoid therapies",Primary
epoprostenol,Other,
eslicarbazepine,Other,
eslicarbazepine,Adjunctive therapy for partial-onset seizures in adults after other medications have been tried without success,Primary
estraderm,For indications of menopausal and post-menopausal symptoms - Extreme intolerance to oral preparations,Primary
estraderm,For indications of menopausal and post-menopausal symptoms - Diagnosis of severe liver disease,Primary
estraderm,For indications of menopausal and post-menopausal symptoms - other,Primary
estraderm,Other,
etanbiosim,Psoriatic Arthritis,Primary
etanbiosim,Plaque Psoriasis,Primary
etanbiosim,Ankylosing Spondylitis,Primary
etanbiosim,Other,
etanbiosim,Rheumatoid Arthritis,Primary
evo,"Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Simon Broome criteria",Primary
evo,"Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Dutch Lipid Network criteria",Primary
evo,Renewal Request - LDL-C is reduced by at least 40% from the LDL prior to treatment with evolocumab,Primary
evo,"Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Genetic testing",Primary
ezetimibe,Other,
ezetimibe,Patient has a diagnosis of hypercholesterolemia.,Primary
febuxostat,For the reduction of serum uric acid levels in patients with gout who demonstrate an immune-mediated hypersensitivity reaction to allopurinol,Primary
febuxostat,Other,
fent patch,Diagnosis of cancer,Primary
fent patch,For pain management in a specified chronic pain diagnosis,Primary
fent patch,Other,
fidaxomicin,treatment of C. Difficile - documented allergy,Primary
fidaxomicin,treatment of C. Difficile - severe intolerance to oral vancomycin,Primary
fidaxomicin,treatment of C. Difficile - failure of oral vancomycin AND when retreatment with vancomycin is not an option AND when the patient is at high risk of hospitalization,Primary
fidaxomicin,Other,
filgrastim,Post-BMT to stimulate bone marrow engraftment,Primary
filgrastim,Post-BMT for rescue of failure to engraft,Primary
filgrastim,For rescue of prolonged febrile neutropenia following chemotherapy,Primary
filgrastim,Cancer patients undergoing peripheral blood progenitor cell (PBPC) collection and therapy,Primary
filgrastim,For PRIMARY prophylaxis of febrile neutropenia in cancer patients receiving potentially CURATIVE myelosuppressive chemotherapy regimens,Primary
filgrastim,For SECONDARY prophylaxis of febrile neutropenia in cancer patients receiving potentially CURATIVE myelosuppressive chemotherapy,Primary
filgrastim,Myelodysplastic disorders or aplastic anemia awaiting bone marrow transplantation,Primary
filgrastim,Chronic benign cyclical neutropenia,Primary
fingolimod,As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis,Primary
fingolimod,other,
fluconsolids,Immunocompromised patient,Primary
fluconsolids,Exceptions on an individual basis for fungal infections resistant to first-line medications.,Primary
fluconsolids,Other,
gabapentin,Diagnosis of Bipolar Disorder,Primary
gabapentin,Other,
glatiramer,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial,Primary
glatiramer,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal,Primary
glatiramer,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch,Primary
gliclazide,"Treatment failure or intolerance to at least one other sulfonylurea drug (e.g., glyburide, tolbutamide) at adequate doses.",Primary
gliclazide,Other,
golim,Ankylosing Spondylitis,Primary
golim,Psoriatic Arthritis,Primary
golim,Other,
golim,Rheumatoid Arthritis,Primary
goserelin,Patient has a diagnosis of endometriosis,Primary
goserelin,Other,
H2Bcime,"Treatment failure on prescription dose of, or intolerance to, ranitidine",Primary
H2Bcime,Other,
H2Bfamo,Other,
H2Bfamo,"Treatment failure on prescription dose of, or intolerance to, ranitidine",Primary
H2Bniza,Other,
H2Bniza,"Treatment failure on prescription dose of, or intolerance to, ranitidine",Primary
harvoni,Genotype 1 - Treatment-experienced² with compensated cirrhosis¹: 24 weeks.,Primary
