Step__r.External_ID__c,Object_Name__c,Field_Name__c,Operator__c,Order__c,Question_ID__c,String_Value__c,Boolean_Value__c
ACEIquin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEItran_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
acetaminophen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
adalimumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADHDamph_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADHDatom_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADHDlisd_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADHDmeth_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADTIdone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADTIgala_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ADTIriva_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
afibdaba_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
aggrenox_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
alemtuzumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
alenalen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
alenrise_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
alitretinoin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antiemeticgran_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antiemeticonda_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antifungalciclo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antifungalclio_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antifungalclot_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antifungalketo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
antifungalmico_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
apomorphine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
aprepitant_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBcand_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBcand_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,manual.diagnosis,Other,false
ARBcand_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,false
ARBcand_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
ARBepro_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBirbe_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBlosa_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBlosa_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,false
ARBlosa_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,manual.diagnosis,Other,false
ARBlosa_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
ARBolme_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBtelm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBtelm_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,false
ARBtelm_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,manual.diagnosis,Other,false
ARBtelm_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
ARBvals_100_Approve_Case,Request_Detail__c,String_value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,false
ARBvals_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ARBvals_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,manual.diagnosis,Other,false
ARBvals_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
aripip_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
asenapine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Avonex_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
azet_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
baclofen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
benralizumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
benzydamine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
BPHDUTA_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
BPHFINA_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
brex_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
budcaps_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
budenema_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
bupre_inj_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
bupropiondepression_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
bupropiondepression_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,bupropionDepression.diagnosis,Other,false
bupropiondepression_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,manual.diagnosis,Other,false
bupropiondepression_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
cad_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
carv_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
CCBfelo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
CCBnife_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
celecox_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
certo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
chlorambucil_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
chloroquine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ciproophthcipr_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
clobazam_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
codeine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDaclid_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDaclidform_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDflutsalm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDflutumecvila_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDflutvila_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDglyc_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDinda_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDindaglyc_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDsalm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDtiop_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDtiopolod_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
COPDumecvila_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
cyclosporin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
cyproinj_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
cyprooral_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
dalteparin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
deferprox_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
defersirox_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
denosacla_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
denosprol_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
desmopressin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
diclo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
diclomiso_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
dienogest_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
dimethylfumarate_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
DOACapix_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
DOACriva_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
dorzolamide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
DPP4lina_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
DPP4saxa_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
dronedarone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
duloxetine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
duodopa_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
edaravone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
enbrel_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
enoxaparin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
entacapone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
entecavir_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Entresto_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
epclusa_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
epoprostenol_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
eslicarbazepine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
estraderm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
etanbiosim_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
evo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ezetimibe_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
febuxostat_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
fent_patch_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
fidaxomicin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
filgrastim_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
fingolimod_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
fluconsolids_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
gabapentin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
glatiramer_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
gliclazide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
gliclazide_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,gliclazide.criteriaGliclazide,Other,false
gliclazide_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,manual.diagnosis,Other,false
gliclazide_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,None,false
golim_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
goserelin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
H2Bcime_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
H2Bfamo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
H2Bniza_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
harvoni_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Humira_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
hydromorph50inj_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
hydromorphSR_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
hydroxyurea_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
hydroxyzine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
icat_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
incobot_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
indapamide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
inflix_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
interferonA_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
interferonB1B_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
isavuconazole_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ismn_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
itraconazole_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ivabradine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ixekiz_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAflutsalm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAflutvila_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAform_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAformbude_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAformmom_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LABAsalm_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
lacolaco_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
lacopera_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
lactulose_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LAinsulinbasa_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Lainsulindete_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
lamivudine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LBMdiph_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
LBMlope_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
leflunomide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
leuprolide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
levetiracetam_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
linezolid_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Maintenaarip_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Maintenapalisust_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Maintenapalitrin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Maintenarisp_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
maviret_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
meloxicam_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
mepolizumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
mercaptopurine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
methotrexatePFsyringe_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
methotrexateVial_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
miniMed_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
mmf_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
modafinil_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
mometNS_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nabumetone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nadroparin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
naproEC_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
natalizumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nebulesbude_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nebulescrom_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nebulesipra_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nebulesiprasalb_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nebulessalb_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
netupitant_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nintedanib_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
nitisinone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
NSAIDdiflu_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
NSAIDflur_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
NSAIDindo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
NSAIDketo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
NSAIDketoSR_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
OBE_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ocrelizumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ofloxacin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
olan_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
omnipod_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
onabot_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
other_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
otherInsulinPumpNotApproved_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Pagetsalen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Pagetsrise_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
PAH1_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
PAH2_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
PAH4_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
PAH5_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
pamidronate_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
pentazocine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
pimecro_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
pirfenidone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
piroxicam_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
prami_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
propranolol_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
prostaglandin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ralox_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Rebif_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
rifaximin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
risan_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ritux_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ropinirole_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
rotig_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
rufinamide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
sarilumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
secukinumab_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
semaglutide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
SGLT2_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
sildenafil_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
solifen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
somatropin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
sovaldi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
statinsfluv_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
statinslova_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
statinsprav_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
statinssimv_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
stiripen_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
sulindac_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
sumatrip_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tacrotopical_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tadalafil_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tenofovir_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tenoxicam_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
terbinafine_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
teriflunomide_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
testosteronecypi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
testosteroneenan_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
testosteroneprop_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tiaprofenic_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ticag_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ticlo_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tinzaparin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tizan_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tobi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tociliz_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
tretinoin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
Twynsta_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
TZDpio_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
uste_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
valganciclovir_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
vancomycin_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
vedoIV_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
voriconazole_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
vosevi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ypsoPump_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
zepatier_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
zip_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
zopiclone_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
