External_ID__c,Name,Drug__r.Drug_Code__c,Order__c,Description__c,Criteria_Logic__c,Always_Run__c
antiemeticgran_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antiemeticgran,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antiemeticonda_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antiemeticonda,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antifungalciclo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antifungalciclo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antifungalclio_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antifungalclio,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antifungalclot_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antifungalclot,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antifungalketo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antifungalketo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
antifungalmico_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,antifungalmico,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
apomorphine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,apomorphine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
aprepitant_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,aprepitant,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBcand_100_Approve_Case,Approve Case,ARBcand,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(1,3), 2)",false
ARBcand_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBcand,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBepro_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBepro,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBirbe_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBirbe,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBlosa_100_Approve_Case,Approve Case,ARBlosa,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(2,3), 1)",false
ARBlosa_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBlosa,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBolme_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBolme,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBtelm_100_Approve_Case,Approve Case,ARBtelm,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(2,3), 1)",false
ARBtelm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBtelm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ARBvals_100_Approve_Case,Approve Case,ARBvals,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(2,3), 1)",false
ARBvals_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ARBvals,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
aripip_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,aripip,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
asenapine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,asenapine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Avonex_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Avonex,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
azet_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,azet,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
baclofen_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,baclofen,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
benralizumab_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,benralizumab,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
benzydamine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,benzydamine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
BPHDUTA_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,BPHDUTA,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
BPHFINA_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,BPHFINA,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
brex_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,brex,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
budcaps_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,budcaps,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
budenema_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,budenema,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
bupre_inj_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,bupre inj,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
bupropiondepression_100_Approve_Case,Approve Case,bupropiondepression,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(2,3), 1)",false
bupropiondepression_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,bupropiondepression,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
cad_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,cad,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
carv_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,carv,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
CCBfelo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,CCBfelo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
CCBnife_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,CCBnife,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
celecox_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,celecox,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
certo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,certo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
chlorambucil_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,chlorambucil,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
chloroquine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,chloroquine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ciproophthcipr_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ciproophthcipr,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
clobazam_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,clobazam,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
codeine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,codeine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDaclid_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDaclid,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDaclidform_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDaclidform,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDflutsalm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDflutsalm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDflutumecvila_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDflutumecvila,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDflutvila_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDflutvila,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDglyc_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDglyc,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDinda_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDinda,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDindaglyc_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDindaglyc,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDsalm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDsalm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDtiop_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDtiop,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDtiopolod_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDtiopolod,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
COPDumecvila_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,COPDumecvila,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
cyclosporin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,cyclosporin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
cyproinj_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,cyproinj,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
cyprooral_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,cyprooral,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
dalteparin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,dalteparin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
deferprox_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,deferprox,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
defersirox_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,defersirox,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
denosacla_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,denosacla,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
denosprol_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,denosprol,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
desmopressin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,desmopressin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
diclo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,diclo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
diclomiso_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,diclomiso,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
dienogest_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,dienogest,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
dimethylfumarate_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,dimethylfumarate,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
DOACapix_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,DOACapix,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
DOACriva_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,DOACriva,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
dorzolamide_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,dorzolamide,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
DPP4lina_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,DPP4lina,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
DPP4saxa_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,DPP4saxa,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
dronedarone_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,dronedarone,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
duloxetine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,duloxetine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
duodopa_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,duodopa,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
edaravone_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,edaravone,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
enbrel_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,enbrel,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
enoxaparin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,enoxaparin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
entacapone_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,entacapone,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
entecavir_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,entecavir,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Entresto_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Entresto,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
epclusa_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,epclusa,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
epoprostenol_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,epoprostenol,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
eslicarbazepine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,eslicarbazepine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
estraderm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,estraderm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
etanbiosim_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,etanbiosim,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
evo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,evo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ezetimibe_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ezetimibe,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
febuxostat_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,febuxostat,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
fent_patch_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,fent patch,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
fidaxomicin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,fidaxomicin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
filgrastim_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,filgrastim,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
fingolimod_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,fingolimod,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
fluconsolids_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,fluconsolids,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
gabapentin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,gabapentin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
glatiramer_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,glatiramer,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
gliclazide_100_Approve_Case,Approve Case,gliclazide,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(2,3), 1)",false
gliclazide_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,gliclazide,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
golim_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,golim,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
goserelin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,goserelin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
H2Bcime_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,H2Bcime,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
H2Bfamo_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,H2Bfamo,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
H2Bniza_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,H2Bniza,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
harvoni_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,harvoni,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Humira_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Humira,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
hydromorph50inj_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,hydromorph50inj,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
hydromorphSR_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,hydromorphSR,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
hydroxyurea_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,hydroxyurea,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
hydroxyzine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,hydroxyzine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
icat_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,icat,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
incobot_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,incobot,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
indapamide_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,indapamide,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
inflix_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,inflix,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
interferonA_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,interferonA,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
interferonB1B_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,interferonB1B,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
isavuconazole_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,isavuconazole,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ismn_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ismn,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
itraconazole_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,itraconazole,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ivabradine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ivabradine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ixekiz_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ixekiz,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAflutsalm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAflutsalm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAflutvila_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAflutvila,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAform_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAform,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAformbude_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAformbude,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAformmom_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAformmom,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LABAsalm_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LABAsalm,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
lacolaco_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,lacolaco,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
lacopera_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,lacopera,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
lactulose_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,lactulose,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LAinsulinbasa_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LAinsulinbasa,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Lainsulindete_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Lainsulindete,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
lamivudine_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,lamivudine,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LBMdiph_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LBMdiph,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
LBMlope_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,LBMlope,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
leflunomide_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,leflunomide,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
leuprolide_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,leuprolide,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
levetiracetam_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,levetiracetam,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
linezolid_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,linezolid,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Maintenaarip_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Maintenaarip,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Maintenapalisust_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Maintenapalisust,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Maintenapalitrin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Maintenapalitrin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
Maintenarisp_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,Maintenarisp,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
maviret_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,maviret,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
meloxicam_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,meloxicam,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
