"Step__r.External_ID__c","Object_Name__c","Field_Name__c","Operator__c","Order__c","Question_ID__c","String_Value__c","Boolean_Value__c"
"100extrabgts_51_Assign_to_eForm_Failure_if_Unknown_DEC","Case","DEC_Name__c","starts with","1.0","","DEC from eForms","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","stLinePpIs1.criteriaWell.diagnosis","other","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","5.0","manual.diagnosis","None","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","stLinePpIs1.criteriaWell.diagnosis","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","Other","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","string_value__c","not equal to","6.0","manual.diagnosis","Post-Op Bariatric Surgery (internal criteria) - 6 months approval","false"
"1PPIpant_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","4.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"1PPIpant_200_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"1PPIpant_200_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","stLinePpIs1.criteriaWell.diagnosis","Pylori","false"
"1PPIpant_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis","None","false"
"1PPIpant_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","3.0","stLinePpIs1.criteriaWell.diagnosis","other","false"
"1PPIpant_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Other","false"
"1PPIpant_400_Approve_Case_for_6_months","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","Post-Op Bariatric Surgery","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","Duodenal ulcer","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Gastric ulcer","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","Barrett's esophagus","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis","Eradication of helicobacter pylori","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","6.0","manual.diagnosis.secondary","bleed","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","7.0","stLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"1PPIrabe_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","stLinePpIs1.criteriaWell.diagnosis","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"1PPIrabe_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","5.0","manual.diagnosis","None","false"
"1PPIrabe_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","4.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"1PPIrabe_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","Other","false"
"1PPIrabe_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","stLinePpIs1.criteriaWell.diagnosis","other","false"
"1PPIrabe_200_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"1PPIrabe_200_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","stLinePpIs1.criteriaWell.diagnosis","Pylori","false"
"1PPIrabe_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis","None","false"
"1PPIrabe_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Other","false"
"1PPIrabe_300_Other_None_Payload","Request_Detail__c","string_value__c","equals","3.0","stLinePpIs1.criteriaWell.diagnosis","other","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis","Eradication of helicobacter pylori","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","6.0","manual.diagnosis.secondary","bleed","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","7.0","stLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Gastric ulcer","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","Duodenal ulcer","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","Barrett's esophagus","false"
"2PPIesom_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"2PPIesom_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIesom_200_Pharmanet_Payload_if_Approved","Case","Status","equals","6.0","","Approved","false"
"2PPIesom_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIesom_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","Pylori","false"
"2PPIesom_400_Assign_Cmpd_to_Compound_Queue","Request_Detail__c","boolean_value__c","equals","1.0","ndLinePpIs1.criteriaWell.compoundPpi.patientIsUnableToUseCommerciallyAvailableNonRe","","true"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","Eradication of helicobacter pylori","false"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis.secondary","bleed","false"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","ulcer","false"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Barrett's esophagus","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","14.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","rush","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","13.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","urgent","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","11.0","ndLinePpIs1.criteriaWell.additionalComments2","GVHD","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","10.0","ndLinePpIs1.criteriaWell.additionalComments2","bleed","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","9.0","ndLinePpIs1.criteriaWell.additionalComments2","palliative","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","8.0","ndLinePpIs1.criteriaWell.additionalComments2","pregnan","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","7.0","ndLinePpIs1.criteriaWell.additionalComments2","addiction","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","6.0","ndLinePpIs1.criteriaWell.additionalComments2","use disorder","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","5.0","ndLinePpIs1.criteriaWell.additionalComments2","cancer","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","15.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","asap","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","16.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","discharge","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","17.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","cancer","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","18.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","use disorder","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","19.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","addiction","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","20.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","pregnan","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","21.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","palliative","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","22.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","4.0","ndLinePpIs1.criteriaWell.additionalComments2","discharge","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","3.0","ndLinePpIs1.criteriaWell.additionalComments2","asap","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","2.0","ndLinePpIs1.criteriaWell.additionalComments2","rush","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","1.0","ndLinePpIs1.criteriaWell.additionalComments2","urgent","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","23.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","GVHD","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","24.0","ndLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","transplant","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","12.0","ndLinePpIs1.criteriaWell.additionalComments2","transplant","false"
"2PPIlans_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","3.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"2PPIlans_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","2.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIlans_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"2PPIlans_300_Approve_for_14_days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","Pylori","false"
"2PPIlans_300_Approve_for_14_days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Barrett's esophagus","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","6.0","ndLinePpIs1.criteriaWell.additionalComments2","bleed","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","helicobacter pylori","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis.secondary","bleed","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","ulcer","false"
"2PPIlans_55_Assign_cmpd_queue_if_cmpd","Request_Detail__c","boolean_value__c","equals","1.0","ndLinePpIs1.criteriaWell.compoundPpi.patientIsUnableToUseCommerciallyAvailableNonRe","","true"
"2PPIlans_55_Assign_cmpd_queue_if_cmpd","Request_Detail__c","boolean_value__c","equals","2.0","ndLinePpIs1.criteriaWell.patientRequiresCompoundedMedication","","true"
"2PPIomep_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIomep_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"2PPIomep_200_Pharmanet_Payload_if_Approved","Case","Status","equals","6.0","","Approved","false"
"2PPIomep_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","Pylori","false"
"2PPIomep_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Barrett's esophagus","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","Eradication of helicobacter pylori","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","ulcer","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","6.0","stLinePpIs1.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis.secondary","bleed","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"2PPIomep_55_Assign_to_compound_queue_if_compound","Request_Detail__c","boolean_value__c","equals","1.0","ndLinePpIs1.criteriaWell.compoundPpi.patientIsUnableToUseCommerciallyAvailableNonRe","","true"
"2PPIomep_55_Assign_to_compound_queue_if_compound","Request_Detail__c","boolean_value__c","equals","2.0","ndLinePpIs1.criteriaWell.patientRequiresCompoundedMedication","","true"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","1.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","other","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","5.0","manual.diagnosis","None","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Case","Status","equals","6.0","","Approved","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","eradicationOfHelicobacterPyloriAsPartOfTripleTherapyMaximum14DayApproval","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","equals","3.0","manual.diagnosis","Other","false"
"2PPIpant_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","contains","2.0","ndLinePpIs1.criteriaWell.indicationForRequestedMedication","Pylori","false"
"2PPIpant_300_Approve_for_14_Days_H_Pylori_","Request_Detail__c","string_value__c","equals","1.0","manual.diagnosis","Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)","false"
"2PPIpant_400_Assign_Cmpd_to_Compound_Queue","Request_Detail__c","boolean_value__c","equals","1.0","ndLinePpIs1.criteriaWell.compoundPpi.patientIsUnableToUseCommerciallyAvailableNonRe","","true"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","ulcer","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis.secondary","bleed","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis","Eradication of helicobacter pylori","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis","Barrett's esophagus","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","6.0","ndLinePpIs1.criteriaWell.additionalComments2","bleed","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","contains","4.0","manual.diagnosis.secondary","Initial","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","contains","5.0","manual.diagnosis.secondary","Renewal 1 year","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","equals","2.0","abataceptParent.raInitialRenewal","initial","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","equals","3.0","abataceptParent.raInitialRenewal","renewal1year","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","contains","9.0","abataceptParent.otherInitialRenewal","renewal","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","contains","8.0","abataceptParent.otherInitialRenewal","initial","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","contains","7.0","manual.diagnosis","pJIA","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","equals","6.0","abataceptParent.selectDiagnosis","pJIA","false"
"abatacept_30_RA_Renewal_3_years","Case","Status","equals","1.0","","Approved","false"
"abatacept_30_RA_Renewal_3_years","Request_Detail__c","string_value__c","equals","2.0","abataceptParent.raInitialRenewal","renewal3years","false"
"abatacept_30_RA_Renewal_3_years","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis.secondary","Renewal 3 years","false"
"abatacept_40_RA_Renewal_Indefinite","Request_Detail__c","string_value__c","contains","3.0","manual.diagnosis.secondary","Indefinite Coverage","false"
"abatacept_40_RA_Renewal_Indefinite","Request_Detail__c","string_value__c","equals","2.0","abataceptParent.raInitialRenewal","renewalindef","false"
"abatacept_40_RA_Renewal_Indefinite","Case","Status","equals","1.0","","Approved","false"
"abatacept_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","other","false"
"abatacept_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","equals","2.0","abataceptParent.selectDiagnosis","other","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Other","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","5.0","manual.diagnosis","None","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Case","Request_Type__c","not equal to","2.0","","Renewal","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","6.0","abobotulinum.initialOrRenewalRequest.initialOrRenewal","renewal","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Case","Origin","not equal to","3.0","","eForm","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Case","Origin","not equal to","3.0","","eForm","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Other","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Case","Request_Type__c","equals","2.0","","Renewal","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Request_Detail__c","string_value__c","equals","6.0","abobotulinum.initialOrRenewalRequest.initialOrRenewal","renewal","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","5.0","manual.diagnosis","None","false"
"abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","Case","Status","equals","1.0","","Approved","false"
"abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","Request_Detail__c","string_value__c","equals","3.0","manual.diagnosis","Other","false"
"abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","Case","Request_Type__c","not equal to","2.0","","Renewal","false"
"abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","Request_Detail__c","string_value__c","equals","4.0","manual.diagnosis","None","false"
"abobotulinum_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","Case","Request_Type__c","equals","2.0","","Renewal","false"
"abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","Case","Status","equals","1.0","","Approved","false"
"abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","Request_Detail__c","string_value__c","equals","4.0","manual.diagnosis","None","false"
"abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","Request_Detail__c","string_value__c","equals","3.0","manual.diagnosis","Other","false"
"abrocitinib_10_Initial_Payload","Request_Detail__c","string_value__c","does not contain","2.0","manual.diagnosis.secondary","renewal","false"
"abrocitinib_10_Initial_Payload","Request_Detail__c","string_value__c","contains","4.0","form1.abrocitinib.initialOrRenewalOrSwitch","switch","false"
"abrocitinib_10_Initial_Payload","Request_Detail__c","string_value__c","contains","3.0","form1.abrocitinib.initialOrRenewalOrSwitch","initial","false"
"abrocitinib_10_Initial_Payload","Case","status","equals","1.0","","approved","false"
"abrocitinib_20_Renewal_Payload","Request_Detail__c","string_value__c","contains","3.0","form1.abrocitinib.initialOrRenewalOrSwitch","renewal","false"
"abrocitinib_20_Renewal_Payload","Case","status","equals","1.0","","approved","false"
"abrocitinib_20_Renewal_Payload","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis.secondary","renewal","false"
"acamprosate_100_PharmaNet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"acarbose_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIcapt_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIcapt_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIcila_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIcila_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIdena_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIdena_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIenap_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIenap_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIfosi_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIfosi_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIliso_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIliso_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ACEIperi_100_AA_Adjudication","Request_Detail__c","string_value__c","not equal to","3.0","manual.diagnosis","None","false"
"ACEIperi_100_AA_Adjudication","Request_Detail__c","string_value__c","not equal to","1.0","aceiForm.criteriaWell1.indication","other","false"
"ACEIperi_100_AA_Adjudication","Request_Detail__c","string_value__c","not equal to","2.0","manual.diagnosis","Other","false"
"ACEIperi_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ACEIperi_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
