"OwnerId","Step__r.External_ID__c","Order__c","RecordType.Name","Adjudication_Status__c","Days_Supply__c","Duration_Unit__c","Duration__c","Excluded_Plans__c","Justification_Codes__c","Key_Type__c","Pharmanet_Code__c","Price_Percent__c","SA_Type__c"
"0055W000000LhdGQAS","ADTIdone_150_Fax_Default_Payload_Initial_AA_","1.0","Pharmanet Payload","","","Months","6.0","D;S","4","RDP","9901-0087","100.0","B"
"0055W000000LhdVQAS","ADTIdone_2_Default_Payload_Renewal","1.0","Pharmanet Payload","","","Years","1.0","D;S","4","RDP","9901-0087","100.0","B"
"0055W000000LhdGQAS","ADTIdone_300_Other_6_months_Payload","1.0","Pharmanet Payload","","","Months","6.0","D;S","4","RDP","9901-0087","100.0","B"
"00G5W000000MXTxUAO","ADTIdone_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","ADTIdone_75_urgent_eform_words","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdVQAS","ADTIgala_1_default_payload_initial","1.0","Pharmanet Payload","","","Months","6.0","D;S","4","RDP","9901-0085","100.0","B"
"0055W000000LhdVQAS","ADTIgala_2_Default_payload_renewal","1.0","Pharmanet Payload","","","Years","1.0","D;S","4","RDP","9901-0085","100.0","B"
"00G5W000000MXTxUAO","ADTIgala_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdVQAS","ADTIriva_1_default_payload_initial","1.0","Pharmanet Payload","","","Months","6.0","D;S","4","RDP","9901-0086","100.0","B"
"0055W000000LhdVQAS","ADTIriva_2_default_payload_renewal","1.0","Pharmanet Payload","","","Years","1.0","D;S","4","RDP","9901-0086","100.0","B"
"00G5W000000MXTxUAO","ADTIriva_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","afibdaba_100_Atrial_Fibrillation","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0192","100.0","B"
"0055W000000LhdVQAS","afibdaba_150_AA_afib","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","afibdaba_200_Paxlovid_AA_10_days","1.0","Pharmanet Payload","","10.0","Days","14.0","D;G;MM;S","4","RDP","9901-0192","100.0","B"
"0055W000000LhdGQAS","afibdaba_200_Paxlovid_AA_10_days","2.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","afibdaba_300_Other_Diagnosis","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0192","100.0","B"
"00G5W000000MXTxUAO","afibdaba_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdpQAC","afliberceptCMPD_100_Approve_case","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdpQAC","afliberceptCMPD_200_PharmaNet_payload_when_Approved","2.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0455","100.0","B"
"0055W000000LhdpQAC","afliberceptCMPD_200_PharmaNet_payload_when_Approved","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0451","100.0","B"
"0055W000000LTcsQAG","aggrenox_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0203","100.0","B"
"00G5W000000MXTxUAO","aggrenox_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","albendazole_200_Pharmanet Payload if Approved","100.0","Pharmanet Payload","","","Months","3.0","D;G;MM;S","4","DIN","66127948","100.0","B"
"0055W000000LTcsQAG","alemtuzumab_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","","","D;G;MM;S","4","RDP","9901-0296","100.0","B"
"00G5W000000MXTxUAO","alemtuzumab_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"005Aw000008Lqi9IAC","alenalen_10_Autofax_as_benefit","1.0","Case Update","","","","","","","","","",""
"00G4W0000064KbkUAE","alenalen_10_Autofax_as_benefit","3.0","Owner Assignment","","","","","","","","","",""
"005Aw000008Lqi9IAC","alenalen_10_Autofax_as_benefit","2.0","Adjudication","Not Approved","","","","","","","","",""
"0055W000000LhdGQAS","alenalen_200_Pharmanet_Payload_if_Approved","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","alenalen_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"0055W000000LTcsQAG","alenalen_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"0055W000000LhdGQAS","alenalen_300_PharmaNet_Payload_if_Approved_Glcocorticoid","200.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"0055W000000LhdGQAS","alenalen_300_PharmaNet_Payload_if_Approved_Glcocorticoid","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","alenalen_300_PharmaNet_Payload_if_Approved_Glcocorticoid","100.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"0055W000000LhdGQAS","alenalen_400_Pharmanet_Payload_if_Other","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"0055W000000LhdGQAS","alenalen_400_Pharmanet_Payload_if_Other","2.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"00G5W000000MXTxUAO","alenalen_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","alenalen_52_Alendronate_urgent_eForm_Words","1.0","Owner Assignment","","","","","","","","","",""
"00G4W0000064KbkUAE","alenrise","3.0","Owner Assignment","","","","","","","","","",""
"005Aw000008Lqi9IAC","alenrise","2.0","Adjudication","Not Approved","","","","","","","","",""
"005Aw000008Lqi9IAC","alenrise","1.0","Case Update","","","","","","","","","",""
"0055W000000LhdGQAS","alenrise_200_Pharmanet_Payload_if_Approved","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","alenrise_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"0055W000000LTcsQAG","alenrise_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"0055W000000LhdGQAS","alenrise_300_PharmaNet_Payload_if_Approved_Glucocorticoid","100.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"0055W000000LhdGQAS","alenrise_300_PharmaNet_Payload_if_Approved_Glucocorticoid","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","alenrise_300_PharmaNet_Payload_if_Approved_Glucocorticoid","200.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"0055W000000LhdGQAS","alenrise_400_Pharmanet_Payload_if_Other","2.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0099","100.0","B"
"0055W000000LhdGQAS","alenrise_400_Pharmanet_Payload_if_Other","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0050","100.0","B"
"00G5W000000MXTxUAO","alenrise_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","alitretinoin_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Days","196.0","D;G;MM;S","4","RDP","9901-0196","100.0","B"
"00G5W000000MXTxUAO","alitretinoin_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
