"External_ID__c","Name","Drug__r.Drug_Code__c","Order__c","Description__c","Criteria_Logic__c","Always_Run__c"
"acetaminophen_100_Approve_case","Approve case","acetaminophen","100.0","","OR(AND(1,3), AND(2,4),5)","false"
"acetaminophen325mg_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","acetaminophen325mg","200.0","Pharmanet Payload if Approved","AND(1)","false"
"adalimumab_60_Payload_for_all_others_1_year","Payload for all others 1 year","adalimumab","70.0","loads 1 year payload for all other indications","AND(1,OR(AND(2,3,4,5,6,7,23),OR(8,9,10,11,12,13,14,22),OR(AND(15,16,17,18,19,20,24),AND(21,16))))","false"
"adalimumab_400_Assign_to_Off_Label_Queue","Assign to Off-Label Queue","adalimumab","40.0","","OR(1,2,3)","false"
"adalimumab_300_Assign_to_PP","Assign to PP","adalimumab","30.0","","OR(1,2,3)","false"
"adalimumab_200_Assign_to_IBD_if_Crohn_s","Assign to IBD if Crohn's","adalimumab","20.0","","OR(1,2,3,4,5)","false"
"adalimumab_57_Payload_for_HS_renewal_1_year_RDP","Payload for HS or NIU renewal 1 year RDP","adalimumab","57.0","","AND(1,OR(2,4,5,7,3,6))","false"
"adalimumab_100_Assign_to_AR","Assign to AR","adalimumab","10.0","","OR(1,2,3,4,5,6)","false"
"adalimumab_70_Payload_for_IBD_initial_12_week","Payload for IBD initial 12 week RDP + simlandi 80 for 6 weeks","adalimumab","60.0","generates a 12 week payload for IBD initial cases. + 6 weeks of simlandi 80mg","AND(1,OR(2,3,4,AND(OR(5,6),7)))","false"
"adalimumab_55_Payload_for_HS_initial_6_months_RDP_6_weeks_Simlandi_80mg","Payload for HS initial 6 months RDP + 6 weeks Simlandi 80mg","adalimumab","55.0","","AND(1,OR(2,AND(3,4)))","false"
"adalimumab_35_Assign_to_PP_Eforms","Assign to PP Eforms","adalimumab","35.0","","OR(1,2,3)","false"
"adalimumab_58_Payload_for_NIU_initial_6_months_RDP_6_weeks_Simlandi_80mg","Payload for NIU initial 1 year RDP + 6 weeks Simlandi 80mg","adalimumab","58.0","","AND(1,OR(2,AND(3,4)))","false"
"adalimumab_80_Simlandi_80mg_payload_trigger","Simlandi 80mg payload trigger","adalimumab","80.0","adds the second payload when dose increase specified","AND(1,OR(2,3,4,5,6,7,8,9,10))","false"
"adalimumab_5_Payload_for_PP_Initial_16_Week","Payload for PP Initial 16 week RDP + Simlandi 80 for 6 weeks","adalimumab","50.0","triggers the 16 week payload + Simlandi 80 for 6 weeks","AND(1,OR(2,AND(3,4)))","false"
"ADHDamph_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ADHDamph","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ADHDamph_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADHDamph","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADHDatom_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADHDatom","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADHDatom_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ADHDatom","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ADHDlisd_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ADHDlisd","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ADHDlisd_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADHDlisd","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADHDlisd_52_Lisdexamfetamine_urgent_eForm_Words","Lisdexamfetamine urgent eForm Words","ADHDlisd","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"ADHDmeth_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ADHDmeth","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ADHDmeth_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADHDmeth","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADTIdone_1_Default_Payload_Initial","eForm Default Payload - Initial (AA)","ADTIdone","100.0","set payload to 6 months when diagnosis initial.","AND(1,2)","false"
"ADTIdone_300_Other_6_months_Payload","Other - 6 months Payload","ADTIdone","300.0","","AND(1,OR(2,3))","false"
"ADTIdone_150_Fax_Default_Payload_Initial_AA_","Fax Default Payload - Initial (AA)","ADTIdone","150.0","","AND(1)","false"
"ADTIdone_75_urgent_eform_words","urgent eform words","ADTIdone","75.0","","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"ADTIdone_2_Default_Payload_Renewal","Default Payload - Renewal","ADTIdone","200.0","default to 1 year if renewal request","AND(1,OR(2,3,4))","false"
"ADTIdone_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADTIdone","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADTIgala_2_Default_payload_renewal","Default payload renewal","ADTIgala","200.0","defaults payload to 1 year if renewal is selected","AND(1, OR(2,3,4))","false"
"ADTIgala_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADTIgala","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ADTIgala_1_default_payload_initial","default payload initial","ADTIgala","100.0","defaults payload to 6 months when approved case has an initial diagnosis","AND(1,OR(2,3,4,5,6))","false"
"ADTIriva_1_default_payload_initial","default payload - initial","ADTIriva","100.0","defaults the payload on approved cases to 6 months if initial is diagnosis","AND(1,OR(2,3,4,5,6))","false"
"ADTIriva_2_default_payload_renewal","default payload - renewal","ADTIriva","200.0","defaults payload to 1 year on approved cases when diagnosis is renewal","AND(1, OR(2,3,4))","false"
"ADTIriva_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ADTIriva","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"afibdaba_150_AA_afib","AA afib","afibdaba","150.0","","OR(AND(1,2),AND(3,OR(4,5,6,7)))","false"
"afibdaba_200_Paxlovid_AA_10_days","Paxlovid AA 10 days","afibdaba","200.0","","OR(1,2,3)","false"
"afibdaba_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","afibdaba","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"afibdaba_300_Other_Diagnosis","Other Diagnosis","afibdaba","300.0","","OR(1,2,3,4,5)","false"
"afibdaba_100_Atrial_Fibrillation","Atrial Fibrillation","afibdaba","100.0","","OR(1,2,3)","false"
"afliberceptCMPD_200_PharmaNet_payload_when_Approved","PharmaNet payload when Approved","afliberceptCMPD","200.0","","AND(1)","false"
"afliberceptCMPD_100_Approve_case","Approve case","afliberceptCMPD","100.0","","OR(AND(1,2,3),AND(4,5))","false"
"aggrenox_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","aggrenox","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"aggrenox_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","aggrenox","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"albendazole_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","albendazole","200.0","Pharmanet Payload if Approved","AND(1)","false"
"alemtuzumab_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","alemtuzumab","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"alemtuzumab_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","alemtuzumab","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"alenalen_300_PharmaNet_Payload_if_Approved_Glcocorticoid","PharmaNet Payload if Approved - Glucocorticoid","alenalen","300.0","","OR(2,3,4)","false"
"alenalen_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","alenalen","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"alenalen_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved - Fracture","alenalen","200.0","Migrated from Drug Template records to criteria-based actions.","OR(2,3,4)","false"
"alenalen_52_Alendronate_urgent_eForm_Words","Alendronate urgent eForm Words","alenalen","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"alenalen_10_Autofax_as_benefit","Autofax as benefit","alenalen","10.0","","","true"
"alenalen_400_Pharmanet_Payload_if_Other","Pharmanet Payload if Other or None","alenalen","400.0","","AND(1,OR(2,3,4,5,6))","false"
"alenrise_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","alenrise","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"alenrise","Autofax as benefit","alenrise","10.0","","","true"
"alenrise_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved - Fracture","alenrise","200.0","Migrated from Drug Template records to criteria-based actions.","OR(2,3,4)","false"
"alenrise_400_Pharmanet_Payload_if_Other","Pharmanet Payload if Other","alenrise","400.0","","OR(2,3,4,5,6)","false"
"alenrise_300_PharmaNet_Payload_if_Approved_Glucocorticoid","PharmaNet Payload if Approved - Glucocorticoid","alenrise","300.0","","OR(2,3,4)","false"
"alitretinoin_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","alitretinoin","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"alitretinoin_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","alitretinoin","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"alternateCGM_1_Set_to_Not_Approved","Set to Not Approved","alternateCGM","1.0","device not eligible for coverage; set to Not Approved","OR(1,2)","true"
"amifampridine_40_Renewal_Approval_1_year_18_and_older","Renewal Approval (1 year) - 18 and older","amifampridine","40.0","","AND(1,OR(AND(2,3),AND(4,5)))","false"
"amifampridine_30_Other_None","Other/None","amifampridine","50.0","","AND(1,OR(2,3,4))","false"
"amifampridine_30_Initial_Approval_3_months_18_and_older","Initial Approval (3 months) - 18 and older","amifampridine","30.0","","AND(1,OR(AND(2,3),AND(4,5)))","false"
"amifampridine_10_Initial_Approval_3_months_","Initial Approval (3 months) - 6 to 17 years of age","amifampridine","10.0","","AND(1,OR(AND(2,3),AND(4,5)))","false"
"amifampridine_20_Renewal_Approval_1_year_","Renewal Approval (1 year) - 6 to 17 years of age","amifampridine","20.0","","AND(1,OR(AND(2,3),AND(4,5)))","false"
"amisulpride100mg_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","amisulpride100mg","200.0","Pharmanet Payload if Approved","AND(1)","false"
"amisulpride400mg_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","amisulpride400mg","200.0","Pharmanet Payload if Approved","AND(1)","false"
"amlodipinesoln_1_Initial_Request","Initial Request","amlodipinesoln","1.0","","AND(1,OR(2,3))","false"
"amlodipinesoln_2_Renewal_Request","Renewal Request","amlodipinesoln","2.0","","AND(1,OR(2,3))","false"
"amlodipinesoln_3_Other_None_Diagnosis","Other/None Diagnosis","amlodipinesoln","3.0","","OR(1,2)","false"
"anakinra_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","anakinra","200.0","Pharmanet Payload if Approved","AND(1)","false"
"antiemeticgran_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antiemeticgran","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antiemeticgran_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antiemeticgran","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antiemeticonda_300_Other_Payload_1_Year","Other Payload - 1 Year","antiemeticonda","300.0","","AND(1,OR(2,3))","false"
"antiemeticonda_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antiemeticonda","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(2,3))","false"
"antiemeticonda_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antiemeticonda","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antifungalciclo_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antifungalciclo","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antifungalciclo_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antifungalciclo","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antifungalclio_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antifungalclio","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antifungalclio_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antifungalclio","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antifungalclot_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antifungalclot","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antifungalclot_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antifungalclot","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antifungalketo_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antifungalketo","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antifungalketo_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antifungalketo","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"antifungalmico_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","antifungalmico","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"antifungalmico_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","antifungalmico","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"apomorphine_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","apomorphine","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"apomorphine_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","apomorphine","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"aprepitant_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","aprepitant","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"aprepitant_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","aprepitant","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Candesartan urgent eForm Words","ARBcand","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"ARBcand_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBcand","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBcand_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBcand","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBcand_100_Approve_Case","Approve Case","ARBcand","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(1,3), 2)","false"
"ARBepro_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBepro","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBepro_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBepro","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBirbe_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBirbe","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBirbe_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBirbe","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBlosa_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBlosa","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBlosa_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBlosa","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBlosa_100_Approve_Case","Approve Case","ARBlosa","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(2,3), 1)","false"
"ARBolme_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBolme","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBolme_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBolme","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBtelm_100_Approve_Case","Approve Case","ARBtelm","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(2,3), 1)","false"
"ARBtelm_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBtelm","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBtelm_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBtelm","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ARBvals_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ARBvals","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
