"OwnerId","Approval_Details__c","Auto_Adjudication_Requirements__c","Auto_Push_to_Pharmanet__c","Auto_Validate_Patient__c","Auto_Validate_Provider__c","Brand_Drug_Name__c","CDEC_Recommendation__c","Criteria_Website__c","DBC_R_R__c","Drug_Code__c","Drug_Review_Results__c","Form__c","Health_Canada_monograph__c","PharmaNet_RDP_code__c","Pharmacist_Notes__c","Practitioner_Exemptions__c","Special_Notes__c","Strength__c","Tech_Sheet__c","Name"
"00G5W000000MXTvUAO","Acamprosate is a regular Fair PharmaCare benefit (effective April 20, 2023). A Special Authority application is not needed for coverage. Please note, medications are subject to patient eligibility, deductibles if applicable, and the Low Cost Alternative price. Thank you. 
https://pharmacareformularysearch.gov.bc.ca/faces/Search.xhtml","","false","false","false","Campral","","","","acamprosate","","tablet","","9901-0143","","","","333 mg","","acamprosate"
"00G5W000000MiSiUAK","Exceptional coverage provided due to patient specific factors. If renewal is required, please provide details demonstrating benefit and tolerability. Thank you","","false","false","false","Glucobay","","","","acarbose","","tablet","https://pdf.hres.ca/dpd_pm/00010798.PDF","9901-0175","If approving, can do 1 year initial coverage, then indef. renewal if benefit shown.","","","100 mg","","acarbose"
"00G5W000000MXTvUAO","","","false","false","false","Capoten and generics","","","","ACEIcapt","","tablet","","0024-0100","","","<p><span style=""font-size: 13.3333px; color: rgb(62, 62, 60);"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","6.25, 12, 25, 50, 100mg non-reference ACE-Inhibitor","","captopril"
"00G5W000000MXTvUAO","","","false","false","false","Inhibace, Inhibace Plus and generics","","","","ACEIcila","","tablet","","9901-0100","","","<p><span style=""font-size: 13.3333px; color: rgb(62, 62, 60);"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","1mg, 2.5mg, 5mg non-reference ACE-Inhibitor","","cilazapril"
"00G5W000000MXTvUAO","","","false","false","false","Lotensin and generics","","","","ACEIdena","","tablet","","0024-0100","","","<p><span style=""font-size: 10pt;"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","5mg, 10mg, 20mg non-reference ACE-Inhibitor","","benazepril"
"00G5W000000MXTvUAO","This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril.","","false","false","false","Vasotec/Vaseretic and generics","","","","ACEIenap","","tablet","","0024-0100","","","<p><span style=""color: #3e3e3c; font-size: 13.3333px;"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","2.5, 5, 10 ,20mg non-reference ACE-Inhibitor","","enalapril"
"00G5W000000MXTvUAO","","","false","false","false","Monopril and generics","","","","ACEIfosi","","tablet","","0024-0100","","","<p><span style=""font-size: 13.3333px; color: rgb(62, 62, 60);"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","10mg, 20mg non-reference ACE-Inhibitor","","fosinopril"
"00G5W000000MXTvUAO","","","false","false","false","Zestril/Zestoretic and generics","","","","ACEIliso","","tablet","","0024-0100","","","<p><span style=""font-size: 13.3333px; color: rgb(62, 62, 60);"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","5, 10, 20mg non-reference ACE-Inhibitor","","lisinopril"
"00G5W000000MXTvUAO","This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril.



*Note: Coversyl Plus (perindopril + indapamide) combination tablets are not eligible for PharmaCare coverage. (indapamide is eligible as a separate Special Authority).","","true","true","true","Coversyl and generics","","","","ACEIperi","","tablet","","0024-0100","","","<p><span style=""font-size: 13.3333px; color: rgb(62, 62, 60);"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril.</span></p><p><br></p><p><span style=""font-size: 13px;"">*Note: Coversyl Plus (perindopril + indapamide) combination tablets are not eligible for PharmaCare coverage. (indapamide is eligible as a separate Special Authority).</span></p>","2mg, 4mg, 8mg non-reference ACE-Inhibitor","","perindopril"
"00G5W000000MXTvUAO","","","false","false","false","Accupril/Accuretic and generics","","","","ACEIquin","","tablet","","0024-0100","","","<p><span style=""color: #172b4d; font-size: 11pt;"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril.</span></p>","5, 10, 20, 40mg non-reference ACE-Inhibitor","","quinapril"
"00G5W000000MXTvUAO","","","false","false","false","Mavik and generics","","","","ACEItran","","tablet","","0024-0100","","","<p><span style=""color: rgb(23, 43, 77); font-size: 11pt;"">This approval includes PharmaCare eligible strengths and formulations (+/- hctz) of: benazepril, captopril, cilazapril, enalapril, fosinopril, lisinopril, perindopril, quinapril and trandolapril</span></p>","0.5mg, 1mg, 2mg, 4mg non-reference ACE-Inhibitor","","trandolapril"
"00G5W000000MXTvUAO","","","true","true","true","Tylenol and generics","","","","acetaminophen","","tablet","","9901-0034","test","","","500mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/acetaminophen%20500mg.pdf","acetaminophen 500mg"
"00G5W000000MiSiUAK","Exceptional coverage provided due to patient specific details.","","false","false","false","Tylenol and generics","","","","acetaminophen325mg","","tablet","","9901-0274","You can approve the 325mg tablet only when there is
an indication that it is for OA and there is justification that
the 500mg is not appropriate for the patient. For example if
the patient was frail and elderly and 500mg would be too much.","","","325 mg","","acetaminophen 325mg"
"00G5W000000MXTiUAO","Approved biosimilar adalimumab 40 mg every _ days","","false","true","true","adalimumab (Amgevita* CF, Idacio, Hadlima, Hulio CF, Hyrimoz*) 40mg/0.8mL, *20mg/0.4mL","","","","adalimumab","","Injectable","","9901-0372","To generate a second payload for the 80mg dose, find a request detail for initial/renewal and edit it to add the word ""increase"" at the end of whatever is already present in the field.","","<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">For patients newly starting adalimumab for ulcerative colitis or CrohnΓÇÖs disease:</span></p>

<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">Approved for 160 mg dose on week 1, 80 mg dose on week 2 for initial loading doses, then 40 mg every 2 weeks thereafter during the approval period. </span></p>

<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">┬á</span></p>

<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">For patients with plaque psoriasis newly starting adalimumab:</span></p>

<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">Approved for an 80 mg single dose for their initial loading dose, then approved for 40 mg doses every 14 days thereafter (during the approval period).<br><br>HS:┬á</span>Approved biosimilar adalimumab 160 mg, then 80 mg dose on day 14, then 40 mg on day 28, then 40mg weekly</p>

<p>┬á</p>

<p><span style=""font-family: Calibri,sans-serif; font-size: 11pt;"">Please note that claims will be monitored and subject to review.┬áFor changes in dosage regimens, please submit renewal application for review by Committee.┬áThank you.</span></p>","40mg/0.8mL, 20mg/0.4mL","","adalimumab (biosimilars)"
"00G5W000000MXTvUAO","Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.","","false","false","false","Adderall-type - generic only","","","","ADHDamph","","tablet","","9901-0092","","","<p><span style=""font-size: 13px;"">Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.┬á</span></p><p><br></p><p><strong><u>MIR/Not Approved Responses:</u></strong></p><p><br></p><p><strong style=""font-size: 16px;""><u>Missing dx:</u></strong></p><p><span style=""font-size: 16px;"">Please specify if diagnosis requiring use includes ADHD.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Missing drug trial:</u></strong></p><p><span style=""font-size: 16px;"">Please specify dose, duration and results of trial with methylphenidate IR/SR (ie. Ritalin-type methylphenidate) or dexamphetamine IR/SR, OR provide rationale to avoid trial. Please note, Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><br></p><p><strong style=""font-size: 16px;""><u>Previously trialed med specified is a long acting stimulant:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - Coverage requires previous trial of a regular benefit stimulant (ie. Ritalin-type methylphenidate IR/SR or dextroamphetamine IR/SR). Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Have checked off a med, but no results specified:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Please specify dose, duration, and results of the noted medication that was previously trialed.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>They claim the patient had the required med trial, but no fills are on PharmaNet:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - PharmaNet records dating back to XXX do not show any previous fills of [specified med] for this patient</span></p><p><span style=""font-size: 16px;"">in BC. Patient does not appear to have had the required previous medication trial. For further consideration, please</span></p><p><span style=""font-size: 16px;"">specify date of trial and source of medication.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Contraindication to short acting stimulants listed as risk of diversion on campus:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - Attendance at a post secondary institution is not accepted as a blanket rationale for avoiding short</span></p><p><span style=""font-size: 16px;"">acting stimulants.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Patient has filled an IR/SR product, but it at the same time or after they started a long acting product:</u></strong></p><p><span style=""font-size: 16px;"">Send to pharmacist</span></p>","","","amphetamine mixed salts XR"
"00G5W000000MXTvUAO","","","false","false","false","Strattera-type - generics only","","","","ADHDatom","","tablet","","9901-0091","","","","10mg, 18mg, 25mg, 40mg. 60mg, 80mg, 100mg","","atomoxetine"
"00G5W000000MXTvUAO","Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.","","false","false","false","Vyvanse","","","","ADHDlisd","","tablet","","9901-0092","","","<p><span style=""font-size: 13px;"">Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.┬á</span></p><p><br></p><p><strong style=""font-size: 14px;""><u>MIR/Not Approved Responses:</u> </strong></p><p><br></p><p><strong style=""font-size: 16px; background-color: rgb(255, 255, 255);""><u>Missing dx:</u></strong></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Please specify if diagnosis requiring use includes ADHD.</span></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>Missing drug trial:</u></strong></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Please specify dose, duration and results of trial with methylphenidate IR/SR (ie. Ritalin-type methylphenidate) or dexamphetamine IR/SR, OR provide rationale to avoid trial. Please note, Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>Previously trialed med specified is a long acting stimulant:</u></strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Not approved - Coverage requires previous trial of a regular benefit stimulant (ie. Ritalin-type methylphenidate IR/SR or dextroamphetamine IR/SR). Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>Have checked off a med, but no results specified:</u></strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Please specify dose, duration, and results of the noted medication that was previously trialed.</span></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>They claim the patient had the required med trial, but no fills are on PharmaNet:</u></strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Not approved - PharmaNet records dating back to XXX do not show any previous fills of [specified med] for this patient</span></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">in BC. Patient does not appear to have had the required previous medication trial. For further consideration, please</span></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">specify date of trial and source of medication.</span></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>Contraindication to short acting stimulants listed as risk of diversion on campus:</u></strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Not approved - Attendance at a post secondary institution is not accepted as a blanket rationale for avoiding short</span></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">acting stimulants.</span></p><p><br></p><p><strong style=""background-color: rgb(255, 255, 255); font-size: 16px;""><u>Patient has filled an IR/SR product, but it at the same time or after they started a long acting product:</u></strong></p><p><span style=""background-color: rgb(255, 255, 255); font-size: 16px;"">Send to pharmacist</span></p>","10mg, 20mg, 30mg, 40mg, 50mg, 60mg, 70mg","","lisdexamfetamine capsules"
"00G5W000000MXTvUAO","Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.","","false","false","false","Concerta and generics","","","","ADHDmeth","","tablet","","9901-0092","","Pediatricians, child psychiatrists, and general practitioners","<p><span style=""font-size: 13px;"">Coverage includes generics of methylphenidate ER (Concerta-type) and mixed-amphetamine salts ER, as well as lisdexamfetamine capsules.┬á</span></p><p><br></p><p><strong><u>MIR/Not Approved Responses:</u></strong></p><p><br></p><p><strong style=""font-size: 16px;""><u>Missing dx:</u></strong></p><p><span style=""font-size: 16px;"">Please specify if diagnosis requiring use includes ADHD.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Missing drug trial:</u></strong></p><p><span style=""font-size: 16px;"">Please specify dose, duration and results of trial with methylphenidate IR/SR (ie. Ritalin-type methylphenidate) or dexamphetamine IR/SR, OR provide rationale to avoid trial. Please note, Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><br></p><p><strong style=""font-size: 16px;""><u>Previously trialed med specified is a long acting stimulant:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - Coverage requires previous trial of a regular benefit stimulant (ie. Ritalin-type methylphenidate IR/SR or dextroamphetamine IR/SR). Previous trials of methylphenidate ER (eg. Concerta, Biphentin, Foquest) or long-acting amphetamines (eg. Adderall, Vyvanse) are not accepted as an alternative.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Have checked off a med, but no results specified:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Please specify dose, duration, and results of the noted medication that was previously trialed.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>They claim the patient had the required med trial, but no fills are on PharmaNet:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - PharmaNet records dating back to XXX do not show any previous fills of [specified med] for this patient</span></p><p><span style=""font-size: 16px;"">in BC. Patient does not appear to have had the required previous medication trial. For further consideration, please</span></p><p><span style=""font-size: 16px;"">specify date of trial and source of medication.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Contraindication to short acting stimulants listed as risk of diversion on campus:</u></strong></p><p><br></p><p><span style=""font-size: 16px;"">Not approved - Attendance at a post secondary institution is not accepted as a blanket rationale for avoiding short</span></p><p><span style=""font-size: 16px;"">acting stimulants.</span></p><p><br></p><p><strong style=""font-size: 16px;""><u>Patient has filled an IR/SR product, but it at the same time or after they started a long acting product:</u></strong></p><p><span style=""font-size: 16px;"">Send to pharmacist</span></p>","18mg, 27mg, 36mg, 54mg","","methylphenidate ER"
"00G5W000000MXTvUAO","","","true","false","false","Aricept and generics","","","","ADTIdone","","tablet","","9901-0087","","","","5mg, 10mg","","donepezil"
"00G5W000000MXTvUAO","","","false","false","false","Reminyl ER and generics","","","","ADTIgala","","tablet","","9901-0085","","","","8mg, 16mg, 24mg","","galantamine"
"00G5W000000MXTvUAO","","","false","false","false","Exelon","","","","ADTIriva","","tablet","","9901-0086","","","","1.5mg, 3mg, 4.5mg, 6mg","","rivastigmine oral tablets"
"00G5W000000MXTxUAO","","","true","true","true","Pradax","","","","afibdaba","","tablet","","9901-0192","","","<p>Exceptional coverage provided at this time due to ongoing COVID-19 impact on INR testing and accessibility to medical services.</p>","110mg, 150mg","","dabigatran"
"00G5W000000MXTxUAO","Reimbursement is only provided for drug prepared by select compounding pharmacies and distributed through Provincial Health Services Authority (PHSA). Please email psp@phsa.ca for details on obtaining drug supply.

Patients who meet coverage criteria will be approved for both aflibercept and ranibizumab. However, only one can be used at a time per affected eye. In cases where patients are using both aflibercept and ranibizumab at the same time for the same affected eye, coverage will be discontinued.","","true","true","true","Eylea aliquoted (compounded) syringe","","","","afliberceptCMPD","","","","9901-0455","","<p>None</p>","","2 mg/0.05 mL","","aflibercept aliquoted syringe"
"00G5W000000MXTxUAO","","","false","false","false","Aggrenox","","","","aggrenox","","tablet","","9901-0203","","","","25/200mg","","ASA/dipyridamole"
"00G5W000000MXTwUAO","PharmaCare coverage is subject to Special Access Program Approval from Health Canada. A copy of the current approval must accompany the request for PharmaCare coverage. Medication must be distributed by a licensed pharmacy for PharmaCare reimbursement.","","false","false","false","Albenza","","","","albendazole","","","","66127948","","","","400 mg","","albendazole"
"00G5W000000MXTpUAO","","","false","false","false","Lemtrada","https://www.cadth.ca/sites/default/files/cdr/complete/cdr-complete-SR0405-Lemtrada-June-22-2015.pdf","https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/pharmacare/prescribers/limited-coverage-drug-program/limited-coverage-drugs-alemtuzumab","DNL at submitted price","alemtuzumab","https://fmdb.hlth.gov.bc.ca/AttachmentRetrievalServlet?sub=7359","i.v. infusion","https://pdf.hres.ca/dpd_pm/00060831.PDF","9901-0296","high cost drug = 5%","<p>None</p>","","12mg/1.2mL","","alemtuzumab"
"00G5W000000MXTvUAO","Alendronate 10mg, 70mg and alendronate + vitamin D 70/5600IU are PharmaCare regular benefits as of Aug 29, 2024. Special Authority submission is not required. Thank you.","","true","true","true","Fosamax and generics","","","","alenalen","","tablet","","9901-0099","","","<p>Alendronate 10mg, 70mg and alendronate + vitamin D 70/5600IU<span style=""font-size: 14px;""> are PharmaCare regular benefits as of Aug 29, 2024. Special Authority submission is not required. Thank you.</span></p>","10mg & 70mg; 70 mg/5600 IU","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/alendronate%2010mg%20+%2070mg.pdf","alendronate 10mg & 70mg; 70 mg/5600 IU"
