"Drug__r.Drug_Code__c","Diagnosis__c","Hierarchy__c"
"ACEIdena","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIdena","Other",""
"ACEIenap","other",""
"ACEIenap","Complex patient requiring medication(s) for co-existing chronic condition(s)","Primary"
"ACEIenap","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIfosi","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIfosi","Other",""
"ACEIfosi","Complex patient requiring medication(s) for co-existing chronic condition(s)","Primary"
"ACEIliso","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIliso","Complex patient requiring medication(s) for co-existing chronic condition(s)","Primary"
"ACEIliso","Other",""
"ACEIperi","Complex patient requiring medication(s) for co-existing chronic condition(s)","Primary"
"ACEIperi","Other",""
"ACEIperi","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIquin","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEIquin","Complex patient requiring medication(s) for co-existing chronic condition(s)","Primary"
"ACEIquin","Other",""
"ACEItran","Other",""
"ACEItran","Treatment failure on optimal doses of, or intolerance to, ramipril","Primary"
"ACEItran","Requiring medication(s) for co-existing chronic condition(s)","Primary"
"acetaminophen","Treatment of osteoarthritis only as monotherapy.","Primary"
"acetaminophen","Treatment osteoarthritis as an adjunct to NSAID therapy when additional pain relief is required.","Primary"
"acetaminophen","Other",""
"adalimumab","Renewal","Secondary"
"adalimumab","Non-Infectious Uveitis","Primary"
"adalimumab","Plaque Psoriasis","Primary"
"adalimumab","Moderate to Severe Active Crohn's","Primary"
"adalimumab","Initial","Secondary"
"adalimumab","Rheumatoid Arthritis","Primary"
"adalimumab","Ankylosing Spondylitis","Primary"
"adalimumab","Psoriatic Arthritis","Primary"
"adalimumab","Fistulizing Crohn's","Primary"
"adalimumab","Ulcerative Colitis","Primary"
"adalimumab","Polyarticular Juvenile Idiopathic Arthritis","Primary"
"adalimumab","Hidradentis Suppurativa","Primary"
"adalimumab","Other","Primary"
"ADHDamph","Other",""
"ADHDamph","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning.","Primary"
"ADHDatom","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning.","Primary"
"ADHDatom","Other",""
"ADHDlisd","Other",""
"ADHDlisd","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - methylphenidate IR/SR","Primary"
"ADHDlisd","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - dextroamphetamine IR/SR","Primary"
"ADHDlisd","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - other","Primary"
"ADHDmeth","Diagnosis of Attention Deficit Hyperactivity Disorder (ADHD) with hyperactivity, impulsivity, or inattention that interferes with functioning and - other","Primary"
"ADHDmeth","Other",""
"ADHDmeth","ADHD with hyperactivity, impulsivity, or inattention that interferes with functioning and - methylphenidate IR/SR","Primary"
"ADHDmeth","Diagnosis of Attention Deficit Hyperactivity Disorder (ADHD) with hyperactivity, impulsivity, or inattention that interferes with functioning and - dextroamphetamine IR/SR","Primary"
"ADTIdone","Initial - mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"ADTIdone","Other",""
"ADTIdone","Renewal -  mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"ADTIgala","Other",""
"ADTIgala","Renewal -  mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"ADTIgala","Initial switch from Donepezil- mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"ADTIriva","Other",""
"ADTIriva","Renewal -  mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"ADTIriva","Initial switch from Donepezil- mild to moderate AlzheimerΓÇÖs disease, AlzheimerΓÇÖs disease with a vascular component, AlzheimerΓÇÖs disease with Parkinsonian features (Lewy bodies), or mixed dementia with AlzheimerΓÇÖs disease","Primary"
"afibdaba","AFib DOES NOT MEET criteria -- no AA","Secondary"
"afibdaba","Other","Primary"
"afibdaba","Dabigatran to be co-administered with Paxlovid for maximum of 10 days","Primary"
"afibdaba","Patient has a diagnosis of non-valvular atrial fibrillation","Primary"
"afibdaba","AFib meets criteria AUTO ADJUDICATE","Secondary"
"afliberceptCMPD","None","Primary"
"afliberceptCMPD","Diabetic Macular Degeneration (DME)","Primary"
"afliberceptCMPD","Disease activity is present at 3 consecutive visits after administration of bevacizumab at a minimum of 4 week intervals with no signs of anatomic or functional improvement","Secondary"
"afliberceptCMPD","Clinically significant macular edema secondary to Branch Retinal Vein Occlusion (BRVO) or Central Retinal Vein Occlusion (CRVO)","Primary"
"afliberceptCMPD","The patient experienced intolerance to bevacizumab treatment warranting discontinuation such as loss in visual acuity despite optimal treatment, sustained increase in intraocular pressure, endophthalmitis","Secondary"
"afliberceptCMPD","The patient did not achieve any improvement in their best corrected visual acuity (BCVA) score despite 3 consecutive courses of bevacizumab","Secondary"
"afliberceptCMPD","The patient did not achieve an improvement of at least 15 Early Treatment Diabetes Retinopathy Study (ETDRS) letters despite 6 months of optimal treatment with bevacizumab","Secondary"
"afliberceptCMPD","Other (exceptional request)","Primary"
"afliberceptCMPD","Neovascular (Wet) Age-Related Macular Degeneration (nAMD)","Primary"
"aggrenox","For secondary prevention of cerebrovascular occlusion and embolization in patients who have experienced recurrent TIA OR stroke while receiving ASA alone","Primary"
"aggrenox","Other",""
"alemtuzumab","As monotherapy for the treatment of relapsing-remitting multiple sclerosis","Primary"
"alenalen","Glucocorticoid-induced osteoporosis in patients who are receiving or expected to receive the equivalent dose of 7.5 mg of prednisone per day or greater AND for 90 consecutive days or longer.","Primary"
"alenalen","Other",""
"alenalen","Clinical or radiographically documented fracture due to osteoporosis","Primary"
"alenrise","Glucocorticoid-induced osteoporosis","Primary"
"alenrise","Clinical or radiographically documented fracture due to osteoporosis","Primary"
"alenrise","Other",""
"alitretinoin","For the treatment of severe chronic hand eczema┬á","Primary"
"alitretinoin","Other",""
"alternateCGM","Medtronic CGM system","Primary"
"amifampridine","Patient is between 6 and 17 years of age","Secondary"
"amifampridine","Renewal request","Primary"
"amifampridine","Initial request","Primary"
"amifampridine","Patient is 18 years of age or older","Secondary"
"amifampridine","Other",""
"amlodipinesoln","Renewal request - Confirmation that the patient is not able to swallow amlodipine tablets.","Primary"
"amlodipinesoln","Other",""
"amlodipinesoln","Initial request - For patients with an inability to swallow oral amlodipine tablets due to age or disability (includes J-tube or G-tube patients). Provide supporting details regarding the patientΓÇÖs inability to swallow tablets.","Primary"
"antiemeticgran","Other",""
"antiemeticgran","Prescribed for the prevention and treatment of nausea and vomiting associated with chemotherapy","Primary"
"antiemeticonda","Prevention and treatment of nausea and vomiting associated with chemotherapy","Primary"
"antiemeticonda","Other",""
"antifungalciclo","Other",""
"antifungalciclo","Diagnosis of a fungal infection of the lower extremities - circulatory condition","Primary"
"antifungalciclo","Diagnosis of a fungal infection of the lower extremities - diabetes","Primary"
"antifungalciclo","Diagnosis of a fungal infection of the lower extremities - other","Primary"
"antifungalclio","Other",""
"antifungalclio","Diagnosis of a fungal infection of the lower extremities - diabetes","Primary"
"antifungalclio","Diagnosis of a fungal infection of the lower extremities - circulatory condition","Primary"
"antifungalclio","Diagnosis of a fungal infection of the lower extremities - other","Primary"
"antifungalclot","Diagnosis of a fungal infection of the lower extremities - diabetes","Primary"
"antifungalclot","Diagnosis of a fungal infection of the lower extremities - circulatory condition","Primary"
"antifungalclot","Diagnosis of a fungal infection of the lower extremities - other","Primary"
"antifungalclot","Other",""
"antifungalketo","Diagnosis of a fungal infection of the lower extremities - other","Primary"
"antifungalketo","Diagnosis of a fungal infection of the lower extremities - diabetes","Primary"
"antifungalketo","Diagnosis of a fungal infection of the lower extremities - circulatory condition","Primary"
"antifungalketo","Other",""
"antifungalmico","Diagnosis of a fungal infection of the lower extremities - diabetes","Primary"
"antifungalmico","Diagnosis of a fungal infection of the lower extremities - other","Primary"
"antifungalmico","Other",""
"antifungalmico","Diagnosis of a fungal infection of the lower extremities - circulatory condition","Primary"
"apomorphine","Other",""
"apomorphine","For the acute, intermittent treatment of patients with advanced Parkinson's disease","Primary"
"aprepitant","Other",""
"aprepitant","For the prevention of acute and delayed nausea and vomiting due to highly-emetogenic cancer chemotherapy (HEC).","Primary"
"ARBcand","Other","Primary"
"ARBcand","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBcand","Patient has experienced┬áangioedema on an ACE-I","Primary"
"ARBcand","Patient has experienced┬áintractable cough on an ACE-I","Primary"
"ARBepro","Patient has experienced┬áangioedema┬áon an Angiotensin Converting Enzyme Inhibitor (ACE-I): ALL reference ARBs must have been unsucessfully tried","Primary"
"ARBepro","Patient has experienced┬áintractable cough┬áon an Angiotensin Converting Enzyme Inhibitor (ACE-I): ALL reference ARBs must have been unsucessfully tried","Primary"
"ARBepro","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBepro","Other",""
"ARBirbe","Patient has experienced┬áintractable cough","Primary"
"ARBirbe","Other",""
"ARBirbe","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBirbe","Patient has experienced┬áangioedema","Primary"
"ARBlosa","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBlosa","Patient has experienced┬áangioedema on an ACE-I","Primary"
"ARBlosa","Patient has experienced┬áintractable cough on an ACE-I","Primary"
"ARBlosa","Other","Primary"
"ARBolme","Patient has experienced┬áangioedema","Primary"
"ARBolme","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBolme","Other",""
"ARBolme","Patient has experienced┬áintractable cough","Primary"
"ARBtelm","Other","Primary"
"ARBtelm","Patient has experienced angioedema on an ACE-I","Primary"
"ARBtelm","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"ARBtelm","Patient has experienced intractable cough on an ACE-I","Primary"
"ARBvals","Patient has experienced┬áintractable cough on an ACE-I","Primary"
"ARBvals","Patient has experienced┬áangioedema on an ACE-I","Primary"
"ARBvals","Other","Primary"
"ARBvals","Patient has experienced intractable cough or angioedema on an ACE-I (checkbox on form)","Primary"
"aripiprazoleINJECTION","Patients who are currently receiving a depot antipsychotic PLUS are experiencing significant side effects such as extrapyramidal symptoms (EPS) or tardive dyskinesia (TD)","Primary"
"aripiprazoleINJECTION","Other","Primary"
"aripiprazoleINJECTION","Patients with a history of non-adherence to antipsychotic medications resulting in negative outcomes, such as hospitalizations, risk to self or others (eg. aggression, suicide risk, etc)","Primary"
"aripiprazoleINJECTION","Patients who have tried oral paliperidone or risperidone, or aripiprazole PLUS at least one other antipsychotic agent and are inadequately controlled at maximally-tolerated doses","Primary"
"aripiprazoleORAL","Other psychosis (not dementia related) AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"aripiprazoleORAL","Other",""
"aripiprazoleORAL","Schizophrenia AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"asenapine","Other",""
"asenapine","Diagnosis of Bipolar I Disorder","Primary"
"atovaquone","PCP prophylaxis","Primary"
"atovaquone","Other","Primary"
"Avonex","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
"Avonex","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"Avonex","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"aztreonam","A deteriorating clinical condition despite treatment with inhaled tobramycin","Primary"
"aztreonam","Other",""
"aztreonam","For the cyclic treatment of chronic Pseudomonas aeruginosa infections in patients┬áwith┬ámoderate to severe cystic fibrosis","Primary"
"baclofen","Severe spasticity due to spinal cord injury","Primary"
"baclofen","Severe spasticity due to multiple sclerosis","Primary"
"baclofen","Other",""
"benefitapix","Other",""
"benefitapix","Regular Benefit (Jan 5th 2023)","Primary"
"benefitdapa","Regular Benefit (Jan 5th 2023)","Primary"
"benefitdapa","Other","Primary"
"benefitleflunomide","Rheumatoid Arthritis","Primary"
"benefitleflunomide","Other",""
"benralizumab","severe eosinophilic asthma","Primary"
"benralizumab","other",""
"benzydamine","For the treatment of mucositis, ulcerative complications of chemotherapy","Primary"
"benzydamine","Immunocompromised patients at risk of mucosal breakdown.","Primary"
"bevacizumab","Hereditary Hemorrhagic Telangiectasia (HHT)","Primary"
"bevacizumab","Other","Primary"
"bimekizumab","Renewal","Secondary"
"bimekizumab","Plaque Psoriasis","Primary"
"bimekizumab","Other",""
"bimekizumab","Initial","Secondary"
"BPHDUTA","Diagnosis of benign prostatic hyperplasia (BPH) PLUS treatment failure and/or intolerance to an alpha blocking agent","Primary"
"BPHDUTA","other",""
"BPHFINA","other",""
"BPHFINA","Diagnosis of benign prostatic hyperplasia (BPH) PLUS treatment failure and/or intolerance to an alpha blocking agent","Primary"
"brex","Other psychosis (not dementia related) AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"brex","Other",""
"brex","Schizophrenia AND treatment failure or intolerance to at least one other specified anti-psychotic agent","Primary"
"breztri","Other",""
"breztri","Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted","Primary"
"brivaracetam","Used as adjunctive therapy for partial onset seizures after at least TWO other anti-epileptic medications have been tried without success; NOT used concurrently with levetiracetam","Primary"
"brivaracetam","other",""
"budcaps","Crohn's disease","Primary"
"budcaps","Lymphocytic Colitis","Primary"
"budcaps","Ulcerative Colitis (UC)","Primary"
"budcaps","Collagenous Colitis","Primary"
"budcaps","Inflammatory Bowel Disease (IBD)","Primary"
"budcaps","Microscopic Colitis","Primary"
"budcaps","Other",""
"budenema","Ulcerative Colitis","Primary"
"budenema","Other",""
"BupNalFilm","Initial","Primary"
"bupre inj","regular benefit March 14, 2023","Primary"
"buprenorphine-naloxone_8mg2mg_LCAexcep","Other","Primary"
"buprenorphine-naloxone_8mg2mg_LCAexcep","Opiate Use Disorder","Primary"
"buprenorphine-naloxone_8mg2mg_LCAexcep","Renewal","Secondary"
"bupropiondepression","Other","Primary"
"bupropiondepression","Depression","Primary"
"cad","Other",""
"cad","diagnosis of CAD and PAD","Primary"
"candesartan4mg","Exceptional approval for 4mg tablets","Primary"
"candesartan4mg","Not Approved for 4mg tablets, Approved for 8, 16, 32mg tablets","Primary"
"carv","Other",""
"carv","A - Concurrent therapy with an Angiotensin Converting Enzyme inhibitor (ACE-I)","Secondary"
"carv","A - For treatment of stable symptomatic congestive heart failure:","Primary"
"carv","Unable to take ACE-I (provide details):","Secondary"
"CCBfelo","Other",""
"CCBfelo","Treatment failure on optimal dose of, or intolerance to, amlodipine","Primary"
"CCBfelo","Complex patient requiring medications for co-existing chronic condition(s)","Primary"
"CCBnife","Complex patient requiring medications for co-existing chronic condition(s)","Primary"
"CCBnife","Treatment failure on optimal dose of, or intolerance to, amlodipine","Primary"
"CCBnife","Other",""
"celecox","Other",""
"celecox","Gout","Primary"
"celecox","Lupus","Primary"
"celecox","Treatment failure on optimal doses of, or intolerance to, both ibuprofen and naproxen.","Primary"
"celecox","Rheumatoid Arthritis","Primary"
"celecox","Psoriatic Arthritis","Primary"
"celecox","Ankylosing Spondylitis","Primary"
"certo","Initial","Secondary"
"certo","Other",""
"certo","Psoriatic Arthritis","Primary"
"certo","Ankylosing Spondylitis","Primary"
"certo","Rheumatoid Arthritis","Primary"
"certo","Renewal 3 years","Secondary"
"certo","Indefinite Renewal","Secondary"
"certo","Renewal 1 year","Secondary"
"cgrpatog","Other",""
"cgrpatog","Diagnosis of chronic migraine","Secondary"
"cgrpatog","Diagnosis of episodic migraine","Secondary"
"cgrpatog","Migraine prevention Initial Request","Primary"
"cgrpatog","Migraine Prevention 2nd or Subsequent renewal","Primary"
"cgrpatog","Migraine prevention First Renewal","Primary"
"cgrpepti","Other",""
"cgrpepti","Diagnosis of episodic migraine","Secondary"
"cgrpepti","Migraine prevention Initial Request","Primary"
"cgrpepti","Migraine prevention First renewal","Primary"
"cgrpepti","Migraine Prevention 2nd or subsequent renewal","Primary"
"cgrpepti","Diagnosis of chronic migraine","Secondary"
"cgrpfrem","Diagnosis of chronic migraine","Secondary"
"cgrpfrem","Other",""
"cgrpfrem","Migraine prevention First renewal","Primary"
"cgrpfrem","Migraine Prevention 2nd or subsequent renewal","Primary"
"cgrpfrem","Migraine prevention Initial Request","Primary"
"cgrpfrem","Diagnosis of episodic migraine","Secondary"
"cgrpgalc","Diagnosis of chronic migraine","Secondary"
"cgrpgalc","Migraine prevention Initial Request","Primary"
"cgrpgalc","Migraine prevention 2nd or subsequent renewal","Primary"
"cgrpgalc","Other",""
"cgrpgalc","Diagnosis of episodic migraine","Secondary"
"cgrpgalc","Migraine prevention First Renewal","Primary"
"chlorambucil","Lupus","Primary"
"chlorambucil","Other",""
"chlorambucil","Vasculitis","Primary"
"chloroquine","Treatment of extraintestinal amebiasis","Primary"
"chloroquine","Lupus","Primary"
"chloroquine","Rheumatoid Arthritis","Primary"
"chloroquine","Other",""
"cinacalcet","Other","Primary"
"cinacalcet","treatment of hypercalcemia caused by Primary Hyperparathyroidism","Primary"
"cinacalcet","NOT APPROVED: Secondary hyperparathyroidism in patients who are on dialysis. Redirect to BCRA","Primary"
"ciproophthcipr","Other",""
"ciproophthcipr","Failure or intolerance to first-line agents (e.g. aminoglycosides)","Primary"
"cladribine","Other","Primary"
"cladribine","As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis (RRMS) - initial","Primary"
"cladribine","As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis (RRMS) - renewal","Primary"
"cladribine","Exceptional: As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis (RRMS) - retreatment","Primary"
"clobazam","Other",""
"clobazam","Treatment of anxiety","Primary"
"codeine","Other","Primary"
"codeine","For pain management in a specified chronic pain diagnosis","Primary"
"codeine","Renewal","Primary"
"codeine","Diagnosis of cancer","Primary"
"compoundedMethadone10mgpermLOAT","Exceptional Opioid Agonist Treatment - first renewal","Primary"
"compoundedMethadone10mgpermLOAT","Exceptional Opioid Agonist Treatment - subsequent indefinite renewal, if stable","Primary"
"compoundedMethadone10mgpermLOAT","Exceptional Opioid Agonist Treatment - initial request","Primary"
"compoundedMethadone10mgpermLOAT","Other","Primary"
"COPDaclid","Other",""
"COPDaclid","Diagnosis of chronic obstructive pulmonary disease (COPD)","Primary"
"COPDaclidform","Diagnosis of moderate to very severe COPD┬╣ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted.┬á","Primary"
"COPDaclidform","Other",""
"COPDflutsalm","Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted","Primary"
"COPDflutsalm","Other",""
"COPDflutumecvila","Other",""
"COPDflutumecvila","Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted","Primary"
"COPDflutvila","Diagnosis of moderate to very severe COPD with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted","Primary"
"COPDflutvila","Other",""
"COPDglyc","Diagnosis of chronic obstructive pulmonary disease (COPD)┬áAND failureof both tiotropium and umeclidinium","Primary"
"COPDglyc","Other",""
"COPDinda","Other",""
"COPDinda","Diagnosis of COPD with a post-bronchodilator FEV1/FVC < 0.70 AND contraindication or intolerance to a long-acting muscarinic receptor antagonist (LAMAs)","Primary"
"COPDindaglyc","Other",""
"COPDindaglyc","Diagnosis of moderate to very severe COPD┬╣ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA","Primary"
"COPDsalm","Diagnosis of COPD with a post-bronchodilator FEV1/FVC < 0.70 AND contraindication or intolerance to a long-acting muscarinic receptor antagonist (LAMAs)","Primary"
"COPDsalm","Other",""
"COPDtiop","Other",""
"COPDtiop","Diagnosis of chronic obstructive pulmonary disease (COPD)┬áAND failureof both tiotropium and umeclidinium","Primary"
"COPDtiopolod","Other",""
"COPDtiopolod","Diagnosis of moderate to very severe COPD┬╣ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA","Primary"
"COPDumecvila","Other",""
"COPDumecvila","Diagnosis of moderate to very severe COPD┬╣ with a post-bronchodilator FEV1/FVC < 0.70 AND FEV1 < 80% predicted AND inadequate response after minimum of 6 month trial of either LAMA or LABA","Primary"
"cyclosporin","Psoriasis of the palms and/or soles severe enough to interfere with daily living or work","Primary"
"cyclosporin","Other",""
"cyclosporin","Nephrotic syndrome","Primary"
"cyclosporin","Treatment failure on topical corticosteroid","Primary"
"cyclosporin","UVB/UVA light therapy is not available","Primary"
"cyclosporin","Ultraviolet-B light or oral or topical methoxsalen plus ultraviolet-A ligh","Primary"
"cyclosporin","Extensive psoriasis involving at least 25% of body surface or having psoriasis area and severity index of at least 12","Primary"
"cyclosporin","Severe ocular inflammatory disease","Primary"
"cyclosporin","Rheumatoid Arthritis","Primary"
"cyclosporin","Topical therapy with corticosteroids","Primary"
"cyproinj","Indication of need to reduce aggressive sexual drive","Primary"
"cyproinj","Other",""
"cyprooral","Other",""
"cyprooral","Indication of need to reduce aggressive sexual drive","Primary"
"cysteamineDrops","For the treatment of corneal cystine crystal deposits in patients with cystinosis (aka ocular cystinosis)","Primary"
"cysteamineDrops","Other",""
"dalteparin","B. - Associated with pregnancy (up to 4 weeks post partum)","Secondary"
"dalteparin","A. - Failure on oral anticoagulant therapy, ie. recurrence (up to 3 months)","Secondary"
"dalteparin","B. - Following total knee replacement surgery (14 days)","Secondary"
"dalteparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Bedrest 4 days or longer (28 days)","Secondary"
"dalteparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Anesthesia longer than 2 hours (28 days)","Secondary"
"dalteparin","B. - Post-surgery (abdominal or pelvic surgery) for management of a malignant tumor (up to 10 days)","Secondary"
"dalteparin","B. - Concurrent lupus anticoagulant syndrome, antiphospholipid syndrome or thrombophilia (3 months)","Secondary"
